scaffold_id	Dim_1	Dim_2	color
scaffold.20148	-6.5259767	29.991514	1
scaffold.26725	-9.6393175	20.1845	1
scaffold.25812	20.797562	14.413845	1
scaffold.18107	18.94229	-12.458056	1
scaffold.18141	18.49906	-11.350635	1
scaffold.25001	20.367271	-14.035449	1
scaffold.35104	22.145948	-23.70405	1
scaffold.34486	14.890923	-26.700378	1
scaffold.40875	-9.812081	32.443893	1
scaffold.37081	-39.14766	17.494522	1
scaffold.74146	1.4232904	-8.5536375	1
scaffold.23492	14.068509	17.785955	1
scaffold.19207	14.166966	17.750244	1
scaffold.17891	13.095752	19.046541	1
scaffold.15663	-0.9175869	18.241024	1
scaffold.17120	-10.08295	32.802174	1
scaffold.17343	20.692244	-13.750799	1
scaffold.17344	13.033202	19.04686	1
scaffold.25283	-17.948515	-13.700391	1
scaffold.32655	-14.874257	6.8575253	1
scaffold.23692	-17.922806	-13.7418	1
scaffold.32108	-14.922002	6.847951	1
scaffold.34185	-14.888136	6.9953	1
scaffold.32556	-14.915119	6.9298096	1
scaffold.34450	18.81323	0.8852889	1
scaffold.60562	18.840405	0.8806057	1
scaffold.15887	12.932769	19.622047	1
scaffold.14840	12.932769	19.622047	1
scaffold.17519	13.4530945	19.027826	1
scaffold.17502	13.452982	19.02741	1
scaffold.17494	13.049961	18.9919	1
scaffold.14842	13.131192	19.258371	1
scaffold.15817	13.049896	18.99171	1
scaffold.14825	13.37762	19.444323	1
scaffold.14833	13.028079	18.980003	1
scaffold.15776	13.377541	19.444445	1
scaffold.19251	13.3775625	19.444384	1
scaffold.15770	17.833458	14.316356	1
scaffold.18059	13.275191	16.40988	1
scaffold.17517	17.833458	14.316356	1
scaffold.14837	-1.6182793	12.029274	1
scaffold.15339	-0.9663841	10.969225	1
scaffold.15252	-1.7224357	12.431894	1
scaffold.15607	-1.6196891	12.570459	1
scaffold.26165	-28.808653	0.19507115	1
scaffold.22790	-29.365414	0.17109697	1
scaffold.27856	-17.390192	-11.918823	1
scaffold.23460	-17.335802	-12.155826	1
scaffold.22553	-17.357622	-11.871049	1
scaffold.27154	32.489456	-25.414772	1
scaffold.23079	-29.438896	0.59240115	1
scaffold.34771	-15.718435	7.8085995	1
scaffold.39528	18.788261	0.9124389	1
scaffold.17363	-0.7314169	11.077388	1
scaffold.20088	18.376707	14.040793	1
scaffold.18094	18.377058	14.040726	1
scaffold.15881	18.76124	14.455119	1
