scaffold_id	Dim_1	Dim_2	color
scaffold.20148	10.553181	-22.977623	1
scaffold.26725	-1.103412	-8.397754	1
scaffold.25812	20.07168	-12.82516	1
scaffold.18107	4.1448193	26.296652	1
scaffold.18141	6.4934244	21.565464	1
scaffold.25001	1.8257831	10.090158	1
scaffold.35104	-16.424398	38.53729	1
scaffold.34486	-16.500387	38.614243	1
scaffold.40875	16.119333	-41.57353	1
scaffold.37081	-2.219226	-36.50103	1
scaffold.74146	1.6763272	33.159645	1
scaffold.23492	22.916557	35.16845	1
scaffold.19207	22.320427	35.657597	1
scaffold.17891	18.104534	-15.927424	1
scaffold.15663	10.168423	-9.638276	1
scaffold.17120	16.785635	-41.37571	1
scaffold.17343	1.2871573	10.690471	1
scaffold.17344	18.028444	-16.075287	1
scaffold.25283	-26.904089	-4.8551936	1
scaffold.32655	-8.955828	-19.07173	1
scaffold.23692	-26.837214	-4.848251	1
scaffold.32108	-8.977513	-19.140549	1
scaffold.34185	-8.840203	-19.05645	1
scaffold.32556	-8.938974	-19.182936	1
scaffold.34450	13.254981	1.5173757	1
scaffold.60562	13.255641	1.523482	1
scaffold.15887	19.22129	-16.95825	1
scaffold.14840	19.220263	-16.957329	1
scaffold.17519	17.128992	-16.70471	1
scaffold.17502	17.13009	-16.703918	1
scaffold.17494	17.572113	-16.209604	1
scaffold.14842	18.107267	-16.426092	1
scaffold.15817	17.574402	-16.210238	1
scaffold.14825	18.079977	-17.120897	1
scaffold.14833	17.650267	-16.177242	1
scaffold.15776	18.075193	-17.119225	1
scaffold.19251	18.079525	-17.12299	1
scaffold.15770	13.915258	-17.463758	1
scaffold.18059	16.178736	-15.833282	1
scaffold.17517	13.915854	-17.464277	1
scaffold.14837	3.6766033	-7.5227265	1
scaffold.15339	5.509925	-6.961356	1
scaffold.15252	3.6309	-7.976937	1
scaffold.15607	3.7413156	-7.1551385	1
scaffold.26165	-31.29418	-17.157795	1
scaffold.22790	-30.676268	-17.580627	1
scaffold.27856	-23.66214	-9.065297	1
scaffold.23460	-23.609694	-8.727471	1
scaffold.22553	-23.669802	-9.155123	1
scaffold.27154	46.235435	44.223248	1
scaffold.23079	-31.16623	-18.269403	1
scaffold.34771	-8.193853	-19.968504	1
scaffold.39528	13.259612	1.5062916	1
scaffold.17363	5.4074535	-6.701304	1
scaffold.20088	13.778411	-17.1442	1
scaffold.18094	13.77801	-17.143612	1
scaffold.15881	12.684304	-16.728401	1
scaffold.19298	13.818649	-17.215067	1
scaffold.18198	16.146326	-15.844292	1
scaffold.15464	19.593578	-17.086588	1
scaffold.15870	18.015572	-17.316143	1
scaffold.19284	18.015572	-17.316143	1
scaffold.20197	13.886096	-17.822393	1
scaffold.15801	9.262715	-22.921368	1
scaffold.15440	3.7226949	-7.1043854	1
scaffold.16411	3.6327903	-7.8005176	1
scaffold.14948	8.811087	-22.926674	1
scaffold.16001	9.017705	-23.57799	1
