scaffold_id	structure	bms	sk_struct	idx	closest_order	bucket_id	embedded_hs_coordinates	Dim_1	Dim_2
scaffold.20148	C1=C(NCc2cccnc2)NCNC1	C1=C(NCc2cccnc2)NCNC1	14 2 3 2 0 6 1 1 4 0 0 0 4 4 0 0 0 4 0 0 0 2 0 0 2 0 0 0 0 0 0 0	1	4950	5834	116;29	116	29
scaffold.26725	O=C1OCCN=C1NNc1ccccc1	O=C1OCCN=C1NNc1ccccc1	14 2 3 2 0 6 1 1 4 0 0 1 3 5 0 0 2 3 0 1 0 0 2 0 2 1 0 0 0 0 1 0	2	4951	5836	117;28	117	28
scaffold.25812	O=C1OCOC=C1N=Nc1ccccc1	O=C1OCOC=C1N=Nc1ccccc1	14 2 3 2 0 6 1 1 4 0 0 2 2 5 0 0 3 2 0 0 0 1 1 1 3 2 0 0 0 0 1 0	3	4952	5837	118;28	118	28
scaffold.18107	C1=NCNCN1CCc1ccccc1	C1=NCNCN1CCc1ccccc1	14 2 3 2 0 6 1 1 5 0 0 0 5 3 0 0 0 3 0 0 0 2 0 0 1 0 0 0 0 1 0 1	4	4953	5838	118;29	118	29
scaffold.18141	C1=NCN(CCc2ccccc2)CN1	C1=NCN(CCc2ccccc2)CN1	14 2 3 2 0 6 1 1 5 0 0 0 5 3 0 0 0 3 0 0 0 2 0 0 1 0 0 0 0 1 0 1	5	4953	5838	118;29	118	29
scaffold.25001	N=C1N=CNCN1OCc1ccccc1	N=C1N=CNCN1OCc1ccccc1	14 2 3 2 0 6 1 1 6 0 0 1 5 5 0 0 1 4 0 1 0 2 0 0 3 1 0 0 0 1 1 1	6	4955	5840	119;28	119	28
scaffold.35104	O=S(=O)(Cc1ccccc1)C1C=CCCC1	O=S(=O)(Cc1ccccc1)C1C=CCCC1	14 2 3 2 0 6 1 1 6 0 6 0 0 3 0 1 2 0 0 0 0 0 0 2 0 0 0 0 0 1 2 1	7	4956	5842	118;27	118	27
scaffold.34486	O=S(=O)(Nc1ccccc1)C1C=CCCC1	O=S(=O)(Nc1ccccc1)C1C=CCCC1	14 2 3 2 0 6 1 1 7 0 6 0 1 4 0 1 2 1 0 1 0 0 0 2 2 0 0 0 0 1 2 1	8	4957	5843	118;26	118	26
scaffold.40875	O=S1(=O)CCOC(NCc2ccccc2)=N1	O=S1(=O)CCOC(NCc2ccccc2)=N1	14 2 3 2 0 6 1 1 9 0 6 1 2 6 0 1 3 2 0 1 0 1 1 2 5 2 0 0 0 0 2 0	9	4958	5844	119;26	119	26
scaffold.37081	O=S(=O)(NC1=NCNCN1)c1ccccc1	O=S(=O)(NC1=NCNCN1)c1ccccc1	14 2 3 2 0 6 1 1 10 0 6 0 4 7 0 1 2 4 0 1 0 3 0 2 4 0 0 0 0 0 2 0	10	4959	5845	119;25	119	25
scaffold.74146	O=C(CN1C(=O)C=COS1(=O)=O)c1ccccc1	O=C(CN1C(=O)C=COS1(=O)=O)c1ccccc1	14 2 3 2 0 6 1 1 10 0 6 1 3 7 0 1 5 1 0 2 1 0 0 2 6 1 0 0 0 1 4 1	11	4960	5846	119;24	119	24
scaffold.23492	C=C1C=NC=CC1/C=C/c1ccccc1	C=C1C=NC=CC1/C=C/c1ccccc1	14 2 3 2 0 6 1 2 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 1 0	12	4961	5847	118;24	118	24
scaffold.19207	C1=CC(/C=C/c2ccccc2)C=CN1	C1=CC(/C=C/c2ccccc2)C=CN1	14 2 3 2 0 6 1 2 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0	13	4962	5849	117;25	117	25
scaffold.17891	C1=NC(/C=C/c2ccccc2)=CCN1	C1=NC(/C=C/c2ccccc2)=CCN1	14 2 3 2 0 6 1 2 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 2 2 0 0 0 0 0 0	14	4963	5850	117;24	117	24
scaffold.15663	C1=CSSC(COc2ccccc2)=C1	C1=CSSC(COc2ccccc2)=C1	14 2 3 2 0 6 1 2 3 0 2 1 0 3 0 2 1 0 0 1 0 0 1 0 2 1 0 0 0 0 0 0	15	4964	5851	116;24	116	24
scaffold.17120	C1=NCNC(NCc2ccccc2)=N1	C1=NCNC(NCc2ccccc2)=N1	14 2 3 2 0 6 1 2 4 0 0 0 4 4 0 0 0 4 0 0 0 2 0 0 3 1 0 0 0 0 0 0	16	4965	5852	116;25	116	25
scaffold.17343	C1=NC=NCN1OCc1ccccc1	C1=NC=NCN1OCc1ccccc1	14 2 3 2 0 6 1 2 6 0 0 1 5 4 0 0 1 3 0 1 0 1 0 0 2 1 0 0 0 1 0 1	17	4966	5853	116;26	116	26
scaffold.17344	C(=Cc1ccccc1)c1ccccc1	C(=Cc1ccccc1)c1ccccc1	14 2 3 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	18	4967	5854	117;26	117	26
scaffold.25283	C=C(Cc1ccccc1)c1ccccc1	C=C(Cc1ccccc1)c1ccccc1	14 2 3 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	19	4968	5856	116;27	116	27
scaffold.32655	C=C(C(=C)c1ccccc1)c1ccccc1	C=C(C(=C)c1ccccc1)c1ccccc1	14 2 3 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 1	20	4969	5857	115;27	115	27
scaffold.23692	N=C(Cc1ccccc1)c1ccccc1	N=C(Cc1ccccc1)c1ccccc1	14 2 3 2 0 6 2 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1	21	4970	5858	114;27	114	27
scaffold.32108	C=C(C(=O)c1ccccc1)c1ccccc1	C=C(C(=O)c1ccccc1)c1ccccc1	14 2 3 2 0 6 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 2 1	22	4971	5859	114;26	114	26
scaffold.34185	N=C(C(=N)c1ccccc1)c1ccccc1	N=C(C(=N)c1ccccc1)c1ccccc1	14 2 3 2 0 6 2 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 1 2 1	23	4972	5860	115;26	115	26
scaffold.32556	O=C(C(=O)c1ccccc1)c1ccccc1	O=C(C(=O)c1ccccc1)c1ccccc1	14 2 3 2 0 6 2 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 2 1	24	4973	5862	115;24	115	24
scaffold.34450	O=C1C=CC(=O)C(CCc2ccccc2)=C1	O=C1C=CC(=O)C(CCc2ccccc2)=C1	14 2 3 2 0 6 2 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 4 0 0 0 0 2 0	25	4974	5863	114;24	114	24
scaffold.60562	O=C1C=CC(=O)C(CCC2=CC(=O)C=CC2=O)=C1	O=C1C=CC(=O)C(CCC2=CC(=O)C=CC2=O)=C1	14 2 3 2 0 6 2 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 8 0 0 0 0 4 0	26	4975	5864	114;25	114	25
scaffold.15887	C(=C\c1ccccn1)\c1ccccc1	C(=C\c1ccccn1)\c1ccccc1	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	27	4976	5865	113;25	113	25
scaffold.14840	C(=C/c1ccccn1)\c1ccccc1	C(=C/c1ccccn1)\c1ccccc1	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	28	4976	5865	113;25	113	25
scaffold.17519	C(=C/c1cccc[nH+]1)\c1ccccc1	C(=C/c1cccc[nH+]1)\c1ccccc1	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	29	4976	5865	113;25	113	25
scaffold.17502	C(=Cc1cccc[nH+]1)c1ccccc1	C(=Cc1cccc[nH+]1)c1ccccc1	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	30	4976	5865	113;25	113	25
scaffold.17494	C(=Cc1cc[nH+]cc1)c1ccccc1	C(=Cc1cc[nH+]cc1)c1ccccc1	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	31	4976	5865	113;25	113	25
scaffold.14842	C(=C/c1ccncc1)\c1ccccc1	C(=C/c1ccncc1)\c1ccccc1	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	32	4976	5865	113;25	113	25
scaffold.15817	C(=C/c1cc[nH+]cc1)\c1ccccc1	C(=C/c1cc[nH+]cc1)\c1ccccc1	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	33	4976	5865	113;25	113	25
scaffold.14825	C(=C/c1cccnc1)\c1ccccc1	C(=C/c1cccnc1)\c1ccccc1	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	34	4976	5865	113;25	113	25
scaffold.14833	C(=C/c1ccc[nH+]c1)\c1ccccc1	C(=C/c1ccc[nH+]c1)\c1ccccc1	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	35	4976	5865	113;25	113	25
scaffold.15776	C(=C\c1cccnc1)\c1ccccc1	C(=C\c1cccnc1)\c1ccccc1	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	36	4976	5865	113;25	113	25
scaffold.19251	C(=Cc1cccnc1)c1ccccc1	C(=Cc1cccnc1)c1ccccc1	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	37	4976	5865	113;25	113	25
scaffold.15770	C(=N\c1ccccc1)\c1ccccc1	C(=N\c1ccccc1)\c1ccccc1	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	38	4976	5865	113;25	113	25
scaffold.18059	C(=[NH+]/c1ccccc1)\c1ccccc1	C(=[NH+]/c1ccccc1)\c1ccccc1	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	39	4976	5865	113;25	113	25
scaffold.17517	C(=Nc1ccccc1)c1ccccc1	C(=Nc1ccccc1)c1ccccc1	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	40	4976	5865	113;25	113	25
scaffold.14837	c1ccc(CCc2cccnc2)cc1	c1ccc(CCc2cccnc2)cc1	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1	41	4990	5882	115;30	115	30
scaffold.15339	c1ccc(C[NH2+]c2ccccc2)cc1	c1ccc(C[NH2+]c2ccccc2)cc1	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1	42	4990	5882	115;30	115	30
scaffold.15252	c1ccc(CCc2ccccn2)cc1	c1ccc(CCc2ccccn2)cc1	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1	43	4990	5882	115;30	115	30
scaffold.15607	c1ccc(CCc2ccncc2)cc1	c1ccc(CCc2ccncc2)cc1	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1	44	4990	5882	115;30	115	30
scaffold.26165	C=C(Nc1ccccc1)c1ccccc1	C=C(Nc1ccccc1)c1ccccc1	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1	45	4994	5886	113;30	113	30
scaffold.22790	N=C(Nc1ccccc1)c1ccccc1	N=C(Nc1ccccc1)c1ccccc1	14 2 3 2 0 6 2 0 1 0 0 0 1 2 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 1 1	46	4995	5887	112;30	112	30
scaffold.27856	O=C(Cc1ccncc1)c1ccccc1	O=C(Cc1ccncc1)c1ccccc1	14 2 3 2 0 6 2 0 1 0 0 0 1 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1	47	4996	5889	111;31	111	31
scaffold.23460	O=C(Cc1ccccn1)c1ccccc1	O=C(Cc1ccccn1)c1ccccc1	14 2 3 2 0 6 2 0 1 0 0 0 1 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1	48	4996	5889	111;31	111	31
scaffold.22553	O=C(Cc1cccnc1)c1ccccc1	O=C(Cc1cccnc1)c1ccccc1	14 2 3 2 0 6 2 0 1 0 0 0 1 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1	49	4996	5889	111;31	111	31
scaffold.27154	O=C1C=CC(=CC=C2C=CNC=C2)C=C1	O=C1C=CC(=CC=C2C=CNC=C2)C=C1	14 2 3 2 0 6 2 0 1 0 0 0 1 2 0 0 1 1 0 0 0 0 0 0 2 7 0 0 0 0 3 0	50	4999	5892	111;30	111	30
