scaffold_id	structure	bms	sk_struct	idx	closest_order	bucket_id	embedded_hs_coordinates	Dim_1	Dim_2
scaffold.23079	S=C(Nc1ccccc1)c1ccccc1	S=C(Nc1ccccc1)c1ccccc1	14 2 3 2 0 6 2 0 1 0 0 0 1 2 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1	51	5000	5893	111;29	111	29
scaffold.34771	O=C(C(=O)c1ccccn1)c1ccccc1	O=C(C(=O)c1ccccn1)c1ccccc1	14 2 3 2 0 6 2 0 1 0 0 0 1 3 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 1 2 1	52	5001	5895	110;28	110	28
scaffold.39528	O=C1C=CC(=O)C(CNc2ccccc2)=C1	O=C1C=CC(=O)C(CNc2ccccc2)=C1	14 2 3 2 0 6 2 0 1 0 0 0 1 3 0 0 2 1 0 0 0 0 0 0 0 4 0 0 0 0 2 0	53	5002	5896	110;29	110	29
scaffold.17363	c1ccc(C[SH+]c2ccccc2)cc1	c1ccc(C[SH+]c2ccccc2)cc1	14 2 3 2 0 6 2 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	54	5003	5897	109;29	109	29
scaffold.20088	C(=N/c1ccccc1)\c1cccnc1	C(=N/c1ccccc1)\c1cccnc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0	55	5004	5898	109;28	109	28
scaffold.18094	C(=Nc1ccccc1)c1cccnc1	C(=Nc1ccccc1)c1cccnc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0	56	5004	5898	109;28	109	28
scaffold.15881	C(=N/c1ccccc1)\c1ccccn1	C(=N/c1ccccc1)\c1ccccn1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0	57	5004	5898	109;28	109	28
scaffold.19298	C(=N/c1ccccc1)\c1ccncc1	C(=N/c1ccccc1)\c1ccncc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0	58	5004	5898	109;28	109	28
scaffold.18198	C(=[NH+]/c1ccccc1)\c1ccncc1	C(=[NH+]/c1ccccc1)\c1ccncc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0	59	5004	5898	109;28	109	28
scaffold.15464	C(=C/c1ccccn1)\c1ccccn1	C(=C/c1ccccn1)\c1ccccn1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0	60	5004	5898	109;28	109	28
scaffold.15870	C(=C/c1cccnc1)\c1ccncc1	C(=C/c1cccnc1)\c1ccncc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0	61	5004	5898	109;28	109	28
scaffold.19284	C(=Cc1cccnc1)c1ccncc1	C(=Cc1cccnc1)c1ccncc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0	62	5004	5898	109;28	109	28
scaffold.20197	C(=N\c1ccncc1)\c1ccccc1	C(=N\c1ccncc1)\c1ccccc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0	63	5004	5898	109;28	109	28
scaffold.15801	c1ccc(NCc2cccnc2)cc1	c1ccc(NCc2cccnc2)cc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1	64	5013	5909	105;31	105	31
scaffold.15440	c1cc(CCc2ccncc2)ccn1	c1cc(CCc2ccncc2)ccn1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1	65	5013	5909	105;31	105	31
scaffold.16411	c1ccc(CCc2cccnc2)nc1	c1ccc(CCc2cccnc2)nc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1	66	5013	5909	105;31	105	31
scaffold.14948	c1ccc(NCc2ccncc2)cc1	c1ccc(NCc2ccncc2)cc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1	67	5013	5909	105;31	105	31
scaffold.16001	c1ccc(CNc2ccncc2)cc1	c1ccc(CNc2ccncc2)cc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1	68	5013	5909	105;31	105	31
scaffold.15317	c1cncc(CCc2cccnc2)c1	c1cncc(CCc2cccnc2)c1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1	69	5013	5909	105;31	105	31
scaffold.15619	c1ccc(N=[NH+]c2ccccc2)cc1	c1ccc(N=[NH+]c2ccccc2)cc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0	70	5019	5916	105;28	105	28
scaffold.16412	C(=N/c1cccnc1)\c1ccccc1	C(=N/c1cccnc1)\c1ccccc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0	71	5020	5917	106;28	106	28
scaffold.15712	c1ccc(NCc2ccccn2)cc1	c1ccc(NCc2ccccn2)cc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 1	72	5021	5918	106;29	106	29
scaffold.15054	c1ccc(CNc2cccnc2)cc1	c1ccc(CNc2cccnc2)cc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 1	73	5021	5918	106;29	106	29
scaffold.17727	C(=C/c1cnccn1)\c1ccccc1	C(=C/c1cnccn1)\c1ccccc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0	74	5023	5920	107;28	107	28
scaffold.16852	C(=N/c1ccccn1)\c1ccccc1	C(=N/c1ccccn1)\c1ccccc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0	75	5024	5922	107;26	107	26
scaffold.16773	C(=C/c1ccncn1)\c1ccccc1	C(=C/c1ccncn1)\c1ccccc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0	76	5024	5922	107;26	107	26
scaffold.15253	C(=C/c1ncccn1)\c1ccccc1	C(=C/c1ncccn1)\c1ccccc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0	77	5024	5922	107;26	107	26
scaffold.15892	C(=C\c1ncccn1)\c1ccccc1	C(=C\c1ncccn1)\c1ccccc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0	78	5024	5922	107;26	107	26
scaffold.16378	C(=C/c1cncnc1)\c1ccccc1	C(=C/c1cncnc1)\c1ccccc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0	79	5024	5922	107;26	107	26
scaffold.15116	c1ccc(CCc2ccncn2)cc1	c1ccc(CCc2ccncn2)cc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 1 0 1	80	5029	5928	105;26	105	26
scaffold.16426	c1ccc(CCc2cncnc2)cc1	c1ccc(CCc2cncnc2)cc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 1 0 1	81	5029	5928	105;26	105	26
scaffold.18189	C(=C/c1cccnn1)\c1ccccc1	C(=C/c1cccnn1)\c1ccccc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0	82	5031	5930	104;25	104	25
scaffold.21749	c1ccc(CCc2cccnn2)cc1	c1ccc(CCc2cccnn2)cc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 1	83	5032	5931	104;24	104	24
scaffold.17441	c1ccc(NNc2ccccc2)cc1	c1ccc(NNc2ccccc2)cc1	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 1	84	5032	5931	104;24	104	24
scaffold.27520	N=C(Nc1ccccc1)c1cccnc1	N=C(Nc1ccccc1)c1cccnc1	14 2 3 2 0 6 2 0 2 0 0 0 2 3 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 1 1 1	85	5034	5933	106;24	106	24
scaffold.22885	O=C(Nc1ccccc1)c1ccncc1	O=C(Nc1ccccc1)c1ccncc1	14 2 3 2 0 6 2 0 2 0 0 0 2 3 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 1 1 1	86	5035	5935	107;25	107	25
scaffold.25752	O=C(Nc1ccccc1)c1cc[nH+]cc1	O=C(Nc1ccccc1)c1cc[nH+]cc1	14 2 3 2 0 6 2 0 2 0 0 0 2 3 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 1 1 1	87	5035	5935	107;25	107	25
scaffold.22590	O=C(Nc1ccccc1)c1ccc[nH+]c1	O=C(Nc1ccccc1)c1ccc[nH+]c1	14 2 3 2 0 6 2 0 2 0 0 0 2 3 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 1 1 1	88	5035	5935	107;25	107	25
scaffold.22888	O=C(Nc1ccccc1)c1ccccn1	O=C(Nc1ccccc1)c1ccccn1	14 2 3 2 0 6 2 0 2 0 0 0 2 3 0 0 1 2 0 0 0 0 1 0 1 0 0 0 0 1 1 1	89	5038	5938	109;24	109	24
scaffold.23206	S=C(Nc1ccccc1)c1ccccn1	S=C(Nc1ccccc1)c1ccccn1	14 2 3 2 0 6 2 0 2 0 0 0 2 3 0 1 0 2 0 0 0 0 1 0 1 0 0 0 0 1 1 1	90	5039	5939	109;25	109	25
scaffold.34162	O=C(C(=O)c1ccccn1)c1ccccn1	O=C(C(=O)c1ccccn1)c1ccccn1	14 2 3 2 0 6 2 0 2 0 0 0 2 4 0 0 2 2 0 0 0 0 0 0 0 1 0 0 0 1 2 1	91	5040	5941	108;26	108	26
scaffold.14832	c1ccc(OCc2cccnc2)cc1	c1ccc(OCc2cccnc2)cc1	14 2 3 2 0 6 2 0 2 0 0 1 1 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1	92	5041	5942	108;27	108	27
scaffold.14834	c1ccc(OCc2ccncc2)cc1	c1ccc(OCc2ccncc2)cc1	14 2 3 2 0 6 2 0 2 0 0 1 1 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1	93	5041	5942	108;27	108	27
scaffold.15793	c1ccc(OCc2cccc[nH+]2)cc1	c1ccc(OCc2cccc[nH+]2)cc1	14 2 3 2 0 6 2 0 2 0 0 1 1 2 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1	94	5043	5944	109;26	109	26
scaffold.15272	c1ccc(COc2cccnc2)cc1	c1ccc(COc2cccnc2)cc1	14 2 3 2 0 6 2 0 2 0 0 1 1 2 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1	95	5043	5944	109;26	109	26
scaffold.16591	c1ccc(COc2ccccn2)cc1	c1ccc(COc2ccccn2)cc1	14 2 3 2 0 6 2 0 2 0 0 1 1 2 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1	96	5045	5946	110;27	110	27
scaffold.24476	O=C(Oc1ccccc1)c1cccnc1	O=C(Oc1ccccc1)c1cccnc1	14 2 3 2 0 6 2 0 2 0 0 1 1 3 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1	97	5046	5948	111;26	111	26
scaffold.24491	O=C(Oc1ccccc1)c1ccncc1	O=C(Oc1ccccc1)c1ccncc1	14 2 3 2 0 6 2 0 2 0 0 1 1 3 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1	98	5046	5948	111;26	111	26
scaffold.25846	O=C(Oc1ccncc1)c1ccccc1	O=C(Oc1ccncc1)c1ccccc1	14 2 3 2 0 6 2 0 2 0 0 1 1 3 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1	99	5046	5948	111;26	111	26
scaffold.23662	O=C(Oc1ccccc1)c1ccccn1	O=C(Oc1ccccc1)c1ccccn1	14 2 3 2 0 6 2 0 2 0 0 1 1 3 0 0 2 1 0 0 0 0 1 0 1 0 0 0 0 1 1 1	100	5049	5951	110;24	110	24
scaffold.22225	O=C(Oc1cccnc1)c1ccccc1	O=C(Oc1cccnc1)c1ccccc1	14 2 3 2 0 6 2 0 2 0 0 1 1 3 0 0 2 1 0 0 0 0 1 0 1 0 0 0 0 1 1 1	101	5049	5951	110;24	110	24
scaffold.60745	c1ccc(CCc2ccc3ccccc3c2)cc1	c1ccc(CCc2ccc3ccccc3c2)cc1	18 2 3 3 0 6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 3 0 3	102	14950	17619	42;134	42	134
scaffold.60821	C(=C/c1cccc2ccccc12)\c1ccccc1	C(=C/c1cccc2ccccc12)\c1ccccc1	18 2 3 3 0 6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0	103	14951	17620	42;135	42	135
