Structure	ID	MOLLIBRARY	MOLLIBRARY_INT	MOLLIBRARY_INT_StdDev	logS	logS_StdDev	logS @ pH7.4	logS @ pH7.4_StdDev	logP	logP_StdDev	logD	logD_StdDev	2C9 pKi	2C9 pKi_StdDev	hERG pIC50	hERG pIC50_StdDev	BBB log([brain]:[blood])	BBB log([brain]:[blood])_StdDev	BBB category	BBB category_Probability	HIA category	HIA category_Probability	P-gp category	P-gp category_Probability	2D6 affinity category	2D6 affinity category_Probability	PPB90 category	PPB90 category_Probability	MW	MW_StdDev	HBD	HBD_StdDev	HBA	HBA_StdDev	TPSA	TPSA_StdDev	Flexibility	Flexibility_StdDev	Rotatable Bonds	Rotatable Bonds_StdDev
CN1CCCC1C2=CC=CN=C2	CHEMBL3	ChEMBL23_NatProd	2	0	5.297	0.7036	2.009	0.621	1.288	0.4351	0.45	0.5843	4.154	0.6013	4.852	0.3592	0.3113	0.3585	+	- = 0.06;+ = 0.94;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.67;yes = 0.33;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 0.97;high = 0.03;	162.2	0	0	0	2	0	16.13	0	0.07692	0	1	0
CC1(C)C(N2C(CC2=O)[S]1(=O)=O)C(O)=O	CHEMBL403	ChEMBL23_NatProd	2	0	4.305	1.033	4.803	inf	-0.3046	0.4351	-2.897	inf	3.964	0.6013	2.797	0.6408	-1.421	0.3585	-	- = 0.78;+ = 0.22;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.76;yes = 0.24;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 0.98;high = 0.02;	233.2	0	1	0	6	0	91.75	0	0.0625	0	1	0
C[C@]1(C[N]2C=CN=N2)C(N3C(CC3=O)[S]1(=O)=O)C(O)=O	CHEMBL404	ChEMBL23_NatProd	2	0	3.667	1.033	3.896	inf	-0.5216	0.4351	-3.002	inf	4.656	inf	3.042	0.7523	-1.691	inf	-	- = 0.86;+ = 0.14;	-	- = 0.777778;+ = 0.222222;	no	no = 0.62;yes = 0.38;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 0.95;high = 0.05;	300.3	0	1	0	9	0	122.5	0	0.1364	0	3	0
O[N](=O)OC1COC2C(COC12)O[N](O)=O	CHEMBL6622	ChEMBL23_NatProd	2	0	3.253	1.033	3.253	1.033	1.107	0.6296	1.107	0.6296	4.135	inf	3.624	0.73	-1.072	0.3585	-	- = 0.83;+ = 0.17;	-	- = 0.933333;+ = 0.0666667;	no	no = 0.64;yes = 0.36;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 1;high = 0;	238.2	0	2	0	10	0	111.5	0	0.2353	0	4	0
CCN(CC)C(=O)C1CN(C)C2CC3=C[NH]C4=CC=CC(=C34)C2=C1	CHEMBL263881	ChEMBL23_NatProd	2	0	3.698	1.033	1.62	inf	2.95	0.4351	1.666	inf	4.948	0.6013	5.684	0.6484	-0.06607	inf	+	- = 0.12;+ = 0.88;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.28;yes = 0.72;	high	low = 0.0454545;medium = 0.227273;high = 0.5;very high = 0.227273;	low	low = 0.8;high = 0.2;	323.4	0	1	0	4	0	39.34	0	0.1481	0	4	0
CCCCC(C)(O)CC=CC1C(O)CC(=O)C1CCC=CCCC(=O)OC	CHEMBL266979	ChEMBL23_NatProd	2	0	1.792	1.033	1.792	1.033	3.744	0.4351	3.744	0.4351	4.505	inf	5.505	0.7187	-0.006239	inf	-	- = 0.84;+ = 0.16;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.46;yes = 0.54;	very high	low = 0.125;medium = 0.125;high = 0.1865;very high = 0.5625;	low	low = 0.87;high = 0.13;	380.5	0	2	0	5	0	83.83	0	0.4815	0	13	0
CC1=C(\C=C\C(C)=C\C=C\C(C)=C\C(=O)NC2=CC=C(O)C=C2)C(C)(C)CCC1	CHEMBL7301	ChEMBL23_NatProd	2	0	1.483	1.033	1.483	1.033	5.163	0.4351	5.163	0.4351	5.411	inf	5.839	1.015	-0.4002	inf	+	- = 0.19;+ = 0.81;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.47;yes = 0.53;	high	low = 0.125;medium = 0.125;high = 0.5;very high = 0.25;	high	low = 0.28;high = 0.72;	391.5	0	2	0	3	0	49.33	0	0.2333	0	7	0
COC1=CC=CC2=C1C(=O)C3=C(O)C4=C(C[C@](O)(CC4OC5CC(N)C(O)C(C)O5)C(=O)CO)C(=C3C2=O)O	CHEMBL417	ChEMBL23_NatProd	2	0	1.388	1.033	3.859	inf	0.1001	0.4351	0.1001	inf	5.728	inf	3.329	0.8727	-0.83	inf	-	- = 0.74;+ = 0.26;	-	- = 0.777778;+ = 0.222222;	yes	no = 0.01;yes = 0.99;	low	low = 0.2501;medium = 0.249967;high = 0.249967;very high = 0.249967;	low	low = 0.51;high = 0.49;	543.5	0	6	0	12	0	206.1	0	0.1163	0	5	0
CC1(C)SC2C(NC(=O)CC3=CC=CC=C3)C(=O)N2C1C(O)=O	CHEMBL29	ChEMBL23_NatProd	2	0	3.154	0.7036	3.805	0.621	1.83	0.4351	-1.524	0.5843	4.636	0.6013	2.663	0.628	-1.445	0.3585	-	- = 0.82;+ = 0.18;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.73;yes = 0.27;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 0.98;high = 0.02;	334.4	0	2	0	6	0	86.71	0	0.2	0	5	0
CNC(NC#N)=NCCSCC1=C(C)[NH]C=N1	CHEMBL30	ChEMBL23_NatProd	2	0	3.749	1.033	3.229	inf	0.3998	0.4351	0.34	0.6135	3.902	0.6013	3.417	0.5722	-1.44	0.3585	-	- = 0.99;+ = 0.01;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.67;yes = 0.33;	low	low = 0.545455;medium = 0.272727;high = 0.0909091;very high = 0.0909091;	low	low = 0.99;high = 0.01;	252.3	0	3	0	6	0	88.89	0	0.4706	0	8	0
