Structure	ID	MOLLIBRARY	MOLLIBRARY_INT	MOLLIBRARY_INT_StdDev	logS	logS_StdDev	logS @ pH7.4	logS @ pH7.4_StdDev	logP	logP_StdDev	logD	logD_StdDev	2C9 pKi	2C9 pKi_StdDev	hERG pIC50	hERG pIC50_StdDev	BBB log([brain]:[blood])	BBB log([brain]:[blood])_StdDev	BBB category	BBB category_Probability	HIA category	HIA category_Probability	P-gp category	P-gp category_Probability	2D6 affinity category	2D6 affinity category_Probability	PPB90 category	PPB90 category_Probability	MW	MW_StdDev	HBD	HBD_StdDev	HBA	HBA_StdDev	TPSA	TPSA_StdDev	Flexibility	Flexibility_StdDev	Rotatable Bonds	Rotatable Bonds_StdDev
CC(=C)C1CC[C@@]2(CC[C@]3(C)C(CCC4[C@@]5(C)CCC(OC(=O)CC(C)(C)C(O)=O)C(C)(C)C5CC[C@@]34C)C12)C(O)=O	CHEMBL404519	ChEMBL23_NatProd	2	0	0.2175	1.033	1.875	inf	5.304	0.4351	2.48	inf	4.912	inf	3.711	1.465	-1.565	inf	-	- = 0.89;+ = 0.11;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.36;yes = 0.64;	high	low = 0.249967;medium = 0.249967;high = 0.2501;very high = 0.249967;	high	low = 0.35;high = 0.65;	584.8	0	2	0	6	0	100.9	0	0.1522	0	7	0
CN1CC(C=C2C1CC3=C[NH]C4=CC=CC2=C34)C(=O)N[C@]5(C)O[C@@]6(O)C7CCCN7C(=O)C(CC8=CC=CC=C8)N6C5=O	CHEMBL442	ChEMBL23_NatProd	2	0	2.072	1.033	2.485	inf	2.992	0.4351	1.819	inf	5.176	inf	4.64	0.956	-1.356	inf	-	- = 0.58;+ = 0.42;	-	- = 0.777778;+ = 0.222222;	yes	no = 0.01;yes = 0.99;	medium	low = 0.111111;medium = 0.666667;high = 0.111111;very high = 0.111111;	high	low = 0.26;high = 0.74;	581.7	0	3	0	10	0	118.2	0	0.1	0	5	0
CC1=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)(C)CCC1	CHEMBL38	ChEMBL23_NatProd	2	0	2.208	1.033	2.149	0.621	4.594	0.4351	0.901	inf	4.84	inf	4.735	0.9573	-0.4977	inf	+	- = 0.21;+ = 0.79;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.69;yes = 0.31;	very high	low = 0.125;medium = 0.125;high = 0.125;very high = 0.625;	high	low = 0.27;high = 0.73;	300.4	0	1	0	2	0	37.3	0	0.2273	0	5	0
CN1CCC2=CC=CC3=C2C1CC4=CC=C(O)C(=C34)O	CHEMBL53	ChEMBL23_NatProd	2	0	3.464	1.033	1.684	inf	2.366	0.4351	1.522	inf	4.657	0.6013	5.457	0.6006	-0.4098	0.3585	+	- = 0.1;+ = 0.9;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.53;yes = 0.47;	high	low = 0.0454545;medium = 0.227273;high = 0.5;very high = 0.227273;	low	low = 0.67;high = 0.33;	267.3	0	2	0	3	0	43.7	0	0	0	0	0
CCOC(=O)\C=C(C)\C=C\C=C(C)\C=C\C1=C(C)C=C(OC)C(=C1C)C	CHEMBL464	ChEMBL23_NatProd	2	0	1.011	1.033	1.011	1.033	5.869	0.4351	5.869	0.4351	5.165	0.6013	5.414	0.983	0.08214	inf	+	- = 0.48;+ = 0.52;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.53;yes = 0.47;	high	low = 0.1;medium = 0.2;high = 0.6;very high = 0.1;	high	low = 0.16;high = 0.84;	354.5	0	0	0	3	0	35.53	0	0.3077	0	8	0
CCCCCC1=CC(=C2C3C=C(C)CCC3C(C)(C)OC2=C1)O	CHEMBL465	ChEMBL23_NatProd	2	0	3.95	0.7036	3.95	0.7036	6.238	0.4351	6.238	0.4351	4.991	0.6013	5.818	0.4793	0.2076	0.3585	+	- = 0.14;+ = 0.86;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.47;yes = 0.53;	very high	low = 0.125;medium = 0.125;high = 0.125;very high = 0.625;	high	low = 0.05;high = 0.95;	314.5	0	1	0	2	0	29.46	0	0.16	0	4	0
C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C)C1CCC2=O	CHEMBL274826	ChEMBL23_NatProd	2	0	2.31	0.7036	2.31	0.7036	2.75	0.4351	2.75	0.4351	4.879	0.6013	4.812	0.5915	-0.1811	0.3585	+	- = 0.14;+ = 0.86;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.91;yes = 0.09;	very high	low = 0.125;medium = 0.125;high = 0.1865;very high = 0.5625;	low	low = 0.53;high = 0.47;	286.4	0	0	0	2	0	34.14	0	0	0	0	0
NC1=NC=NC2=C1N=C[N]2C3OC(CO)C(O)C3O	CHEMBL477	ChEMBL23_NatProd	2	0	4.587	0.7036	2.612	inf	-1.05	0.4351	-1.552	inf	4.334	0.6013	4.081	0.7675	-1.383	0.3585	-	- = 0.93;+ = 0.07;	+	- = 0.2;+ = 0.8;	no	no = 0.56;yes = 0.44;	low	low = 0.782609;medium = 0.130435;high = 0.0434783;very high = 0.0434783;	low	low = 0.95;high = 0.05;	267.2	0	4	0	9	0	139.5	0	0.09524	0	2	0
CCC1=C2C[N]3[C](=O)C4=C(C=C3C2=NC5=CC=C(OC(=O)N6CCC(CC6)N7CCCCC7)C=C15)[C@@](O)(CC)C(=O)OC4	CHEMBL481	ChEMBL23_NatProd	2	0	1.225	1.033	1.594	inf	3.638	0.4351	2.431	inf	5.26	0.6013	6.243	0.8312	-1.24	0.3585	-	- = 0.65;+ = 0.35;	+	- = 0.136364;+ = 0.863636;	yes	no = 0.13;yes = 0.87;	medium	low = 0.111111;medium = 0.666667;high = 0.111111;very high = 0.111111;	low	low = 0.5001;high = 0.4999;	586.7	0	1	0	10	0	114.2	0	0.1224	0	6	0
CN1CC[C@@]23C4OC5=C(O)C=CC(=C25)CC1C3C=CC4O	CHEMBL70	ChEMBL23_NatProd	2	0	4.253	1.033	1.471	inf	1.098	0.4351	0.4937	inf	4.579	0.6013	5.447	0.6415	0.07587	inf	+	- = 0.08;+ = 0.92;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.23;yes = 0.77;	low	low = 0.782609;medium = 0.130435;high = 0.0434783;very high = 0.0434783;	low	low = 0.93;high = 0.07;	285.3	0	2	0	4	0	52.93	0	0	0	0	0
CC(C[N]1C=NC2=C(N)N=CN=C12)OC[P](O)(O)=O	CHEMBL483	ChEMBL23_NatProd	2	0	3.547	1.033	3.76	0.621	-0.004547	0.4351	-2.287	inf	4.037	0.6013	4.568	0.5998	-1.246	0.3585	-	- = 0.97;+ = 0.03;	-	- = 0.933333;+ = 0.0666667;	yes	no = 0.32;yes = 0.68;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 0.95;high = 0.05;	287.2	0	3	0	9	0	136.4	0	0.25	0	5	0
NC1=NC=NC2=C1N=C[N]2CCOC[P](O)(O)=O	CHEMBL484	ChEMBL23_NatProd	2	0	3.742	1.033	3.721	0.621	-0.478	0.4351	-2.459	inf	4.084	0.6013	4.562	0.6061	-1.362	0.3585	-	- = 0.97;+ = 0.03;	-	- = 0.933333;+ = 0.0666667;	yes	no = 0.2;yes = 0.8;	low	low = 0.545455;medium = 0.272727;high = 0.0909091;very high = 0.0909091;	low	low = 0.94;high = 0.06;	273.2	0	3	0	9	0	136.4	0	0.2632	0	5	0
COC1=CC=C2CC3C4C=CC(O)C5OC1=C2[C@]45CCN3C	CHEMBL485	ChEMBL23_NatProd	2	0	4.123	1.033	1.658	inf	1.14	0.4351	1.063	inf	4.625	0.6013	5.503	0.6319	0.407	inf	+	- = 0.1;+ = 0.9;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.32;yes = 0.68;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 0.91;high = 0.09;	299.4	0	1	0	4	0	41.93	0	0.03846	0	1	0
OC1=CC=C2CC3N(CC[C@@]45C(OC1=C24)C(=O)CC[C@@]35O)CC=C	CHEMBL80	ChEMBL23_NatProd	2	0	2.947	1.033	1.179	inf	2.09	0.4351	0.3568	inf	4.58	inf	5.557	0.6449	-0.1894	inf	+	- = 0.33;+ = 0.67;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.64;yes = 0.36;	high	low = 0.0454545;medium = 0.227273;high = 0.5;very high = 0.227273;	low	low = 0.92;high = 0.08;	327.4	0	2	0	5	0	70	0	0.07143	0	2	0
CC(C)CC1N2C(=O)[C@](NC(=O)C3CN(C)C4CC5=C(Br)[NH]C6=CC=CC(=C56)C4=C3)(O[C@@]2(O)C7CCCN7C1=O)C(C)C	CHEMBL493	ChEMBL23_NatProd	2	0	2.027	1.033	2.434	inf	3.81	0.4351	2.436	inf	5.069	inf	4.54	0.9674	-1.296	inf	-	- = 0.59;+ = 0.41;	-	- = 0.777778;+ = 0.222222;	yes	no = 0.02;yes = 0.98;	high	low = 0.133333;medium = 0.2;high = 0.6;very high = 0.0666667;	high	low = 0.42;high = 0.58;	654.6	0	3	0	10	0	118.2	0	0.1224	0	6	0
CC#CCC(C)C(O)C=CC1C(O)CC2CC(CC12)=CCCCC(O)=O	CHEMBL494	ChEMBL23_NatProd	2	0	2.591	1.033	3.631	0.621	2.861	0.4351	0.05453	inf	4.547	0.6013	4.536	0.7045	-0.6306	inf	-	- = 0.64;+ = 0.36;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.4;yes = 0.6;	very high	low = 0.125;medium = 0.125;high = 0.1865;very high = 0.5625;	low	low = 0.67;high = 0.33;	360.5	0	3	0	4	0	77.76	0	0.3333	0	9	0
CC[C@@]1(O)C(=O)OCC2=C1C=C3[N](CC4=CC5=C(CN(C)C)C(=CC=C5N=C34)O)[C]2=O	CHEMBL84	ChEMBL23_NatProd	2	0	2.578	1.033	2.152	inf	1.11	0.4351	0.8458	inf	5.321	0.6013	5.007	0.7602	-1.654	0.3585	-	- = 0.95;+ = 0.05;	+	- = 0.136364;+ = 0.863636;	yes	no = 0.22;yes = 0.78;	low	low = 0.782609;medium = 0.130435;high = 0.0434783;very high = 0.0434783;	low	low = 0.81;high = 0.19;	421.4	0	2	0	8	0	104.9	0	0.08571	0	3	0
CC(=O)OC1C(=O)[C@]2(C)C(O)CC3OC[C@@]3(OC(C)=O)C2C(OC(=O)C4=CC=CC=C4)[C@]5(O)CC(OC(=O)C(O)C(NC(=O)C6=CC=CC=C6)C7=CC=CC=C7)C(=C1C5(C)C)C	CHEMBL428647	ChEMBL23_NatProd	2	0	-0.546	1.033	-0.546	1.033	3.205	0.4351	3.205	0.4351	5.5	inf	3.761	1.084	-1.172	inf	-	- = 0.79;+ = 0.21;	+	- = 0.136364;+ = 0.863636;	yes	no = 0;yes = 1;	high	low = 0.249967;medium = 0.249967;high = 0.2501;very high = 0.249967;	high	low = 0.23;high = 0.77;	853.9	0	4	0	15	0	221.3	0	0.2206	0	15	0
CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(O)=O	CHEMBL495	ChEMBL23_NatProd	2	0	2.216	0.7036	2.717	0.621	3.414	0.4351	-0.4665	inf	4.384	0.6013	4.518	0.6892	-1.094	0.3585	-	- = 0.89;+ = 0.11;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.36;yes = 0.64;	high	low = 0.0555556;medium = 0.222222;high = 0.666667;very high = 0.0555556;	high	low = 0.37;high = 0.63;	354.5	0	3	0	5	0	94.83	0	0.52	0	13	0
CC(=O)O[C@@]12COC1CC(O)[C@]3(C)C2C(OC(=O)C4=CC=CC=C4)[C@]5(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)C6=CC=CC=C6)C(=C(C(O)C3=O)C5(C)C)C	CHEMBL92	ChEMBL23_NatProd	2	0	0.1843	1.033	0.1843	1.033	2.41	0.6296	2.41	0.6296	5.373	inf	3.886	0.9897	-1.255	inf	-	- = 0.78;+ = 0.22;	+	- = 0.136364;+ = 0.863636;	yes	no = 0.02;yes = 0.98;	high	low = 0.249967;medium = 0.249967;high = 0.2501;very high = 0.249967;	high	low = 0.37;high = 0.63;	807.9	0	5	0	15	0	224.4	0	0.2222	0	14	0
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12	CHEMBL503	ChEMBL23_NatProd	2	0	1.188	1.033	1.188	1.033	4.26	0.4351	4.26	0.4351	4.872	0.6013	4.916	0.5219	-0.01805	0.3585	-	- = 0.76;+ = 0.24;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.08;yes = 0.92;	very high	low = 0.249967;medium = 0.249967;high = 0.249967;very high = 0.2501;	high	low = 0.23;high = 0.77;	404.5	0	1	0	5	0	72.83	0	0.2258	0	7	0
CN1C(CCNC2=CC=C(C=C2)C(=O)NC(CCC(O)=O)C(O)=O)CNC3=C1[C](=O)N=C(N)[NH]3	CHEMBL12213	ChEMBL23_NatProd	2	0	2.045	1.033	3.911	0.621	-0.2845	0.4351	-1.739	inf	5.225	0.6013	2.403	0.9743	-1.621	inf	-	- = 0.95;+ = 0.05;	+	- = 0.2;+ = 0.8;	yes	no = 0.14;yes = 0.86;	low	low = 0.782609;medium = 0.130435;high = 0.0434783;very high = 0.0434783;	low	low = 0.67;high = 0.33;	473.5	0	7	0	13	0	202.8	0	0.3056	0	11	0
CN(C)[S](=O)(=O)NC1CC2C(CC3=C[N](C)C4=CC=CC2=C34)N(C)C1	CHEMBL12314	ChEMBL23_NatProd	2	0	3.184	1.033	2.693	inf	1.88	0.4351	0.6756	inf	4.66	0.6013	6.043	0.7483	-0.6776	inf	-	- = 0.72;+ = 0.28;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.53;yes = 0.47;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 0.78;high = 0.22;	362.5	0	1	0	6	0	57.58	0	0.1071	0	3	0
C[N]1=CC2=C3OCOC3=CC=C2C4=CC=C5C=C6OCOC6=CC5=C14	CHEMBL417799	ChEMBL23_NatProd	2	0	-0.2526	1.033	-0.2526	1.033	4.149	0.4351	4.149	0.4351	5.781	0.6013	6.008	0.6489	-0.09802	inf	-	- = 0.64;+ = 0.36;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.43;yes = 0.57;	medium	low = 0.2;medium = 0.6;high = 0.166667;very high = 0.0333333;	low	low = 0.55;high = 0.45;	332.3	0	0	0	5	0	36.92	0	0	0	0	0
C[C@]12CCC(=O)C=C1CCC3C4CCC(C(=O)CO)[C@]4(CC(O)C23)C=O	CHEMBL273453	ChEMBL23_NatProd	2	0	3.115	1.033	3.115	1.033	0.9818	0.4351	0.9818	0.4351	4.587	0.6013	4.352	0.6504	-1.061	0.3585	-	- = 0.89;+ = 0.11;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.04;yes = 0.96;	low	low = 0.782609;medium = 0.130435;high = 0.0434783;very high = 0.0434783;	low	low = 0.85;high = 0.15;	360.4	0	2	0	5	0	91.67	0	0.1034	0	3	0
CO\N=C(/C(=O)NC1C2SCC=C(N2C1=O)C(O)=O)C3=CSC(=N3)N	CHEMBL528	ChEMBL23_NatProd	2	0	3.083	1.033	4.143	inf	-0.06876	0.4351	-1.702	inf	4.642	0.6013	2.181	0.8343	-1.801	inf	-	- = 0.89;+ = 0.11;	+	- = 0.16667;+ = 0.83333;	yes	no = 0.42;yes = 0.58;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 1;high = 0;	383.4	0	3	0	10	0	147.2	0	0.2222	0	6	0
CCC1OC(=O)C(C)C(OC2C[C@@](C)(OC)C(O)C(C)O2)C(C)C(OC3OC(C)CC(C3O)N(C)C)[C@](C)(O)CC(C)CN(C)C(C)C(O)[C@]1(C)O	CHEMBL529	ChEMBL23_NatProd	2	0	3.612	1.033	4.622	inf	2.904	0.6296	0.3301	inf	5.057	inf	4.58	0.5422	-1.41	inf	-	- = 0.66;+ = 0.34;	+	- = 0.136364;+ = 0.863636;	yes	no = 0.12;yes = 0.88;	low	low = 0.2501;medium = 0.249967;high = 0.249967;very high = 0.249967;	low	low = 0.89;high = 0.11;	749	0	5	0	14	0	180.1	0	0.1296	0	7	0
CC1(C)SC2C(N=CN3CCCCCC3)C(=O)N2C1C(O)=O	CHEMBL530	ChEMBL23_NatProd	2	0	2.966	1.033	3.452	inf	2.197	0.4351	-1.722	inf	4.524	0.6013	3.435	0.6457	-1.904	0.3585	-	- = 0.74;+ = 0.26;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.66;yes = 0.34;	very high	low = 0.125;medium = 0.125;high = 0.1865;very high = 0.5625;	low	low = 0.92;high = 0.08;	325.4	0	1	0	6	0	73.21	0	0.125	0	3	0
CCCN1CC(CSC)CC2C1CC3=C[NH]C4=CC=CC2=C34	CHEMBL531	ChEMBL23_NatProd	2	0	3.035	1.033	0.451	inf	4.514	0.4351	2.701	inf	4.745	0.6013	5.839	0.5208	0.2376	0.3585	+	- = 0.18;+ = 0.82;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.27;yes = 0.73;	very high	low = 0.125;medium = 0.125;high = 0.1865;very high = 0.5625;	low	low = 0.84;high = 0.16;	314.5	0	1	0	2	0	19.03	0	0.16	0	4	0
CCC1OC(=O)C(C)C(OC2C[C@@](C)(OC)C(O)C(C)O2)C(C)C(OC3OC(C)CC(C3O)N(C)C)[C@](C)(O)CC(C)C(=O)C(C)C(O)[C@]1(C)O	CHEMBL532	ChEMBL23_NatProd	2	0	2.648	1.033	4.233	inf	2.54	0.6296	1.26	inf	5.086	inf	3.958	0.4539	-1.696	inf	-	- = 0.78;+ = 0.22;	+	- = 0.136364;+ = 0.863636;	yes	no = 0.08;yes = 0.92;	low	low = 0.2501;medium = 0.249967;high = 0.249967;very high = 0.249967;	low	low = 0.95;high = 0.05;	733.9	0	5	0	14	0	193.9	0	0.1321	0	7	0
CC(=O)C1CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C	CHEMBL103	ChEMBL23_NatProd	2	0	1.45	0.7036	1.45	0.7036	3.87	0.4351	3.87	0.4351	4.825	0.6013	4.983	0.6103	-0.07594	0.3585	+	- = 0.17;+ = 0.83;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.91;yes = 0.09;	very high	low = 0.249967;medium = 0.249967;high = 0.249967;very high = 0.2501;	high	low = 0.17;high = 0.83;	314.5	0	0	0	2	0	34.14	0	0.03846	0	1	0
CO[C@@]12C(COC(N)=O)C3=C(N1CC4NC24)C(=O)C(=C(N)C3=O)C	CHEMBL105	ChEMBL23_NatProd	2	0	3.979	1.033	4.067	inf	-0.3998	0.4351	-0.38	inf	4.354	inf	2.548	0.9589	-0.7434	inf	-	- = 0.8;+ = 0.2;	+	- = 0.2;+ = 0.8;	yes	no = 0;yes = 1;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 0.95;high = 0.05;	334.3	0	3	0	9	0	146.9	0	0.1481	0	4	0
CC1=C(\C=C\C(C)=C\C=C\C(C)=C/C(O)=O)C(C)(C)CCC1	CHEMBL547	ChEMBL23_NatProd	2	0	2.208	1.033	2.149	0.621	4.594	0.4351	0.901	inf	4.84	inf	4.735	0.9573	-0.4977	inf	+	- = 0.21;+ = 0.79;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.69;yes = 0.31;	very high	low = 0.125;medium = 0.125;high = 0.125;very high = 0.625;	high	low = 0.27;high = 0.73;	300.4	0	1	0	2	0	37.3	0	0.2273	0	5	0
CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(O)=O	CHEMBL548	ChEMBL23_NatProd	2	0	2.413	1.033	3.329	0.621	2.82	0.4351	-0.3446	inf	4.428	inf	4.561	0.7869	-0.6721	inf	-	- = 0.91;+ = 0.09;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.37;yes = 0.63;	very high	low = 0.125;medium = 0.125;high = 0.1865;very high = 0.5625;	low	low = 0.86;high = 0.14;	352.5	0	3	0	5	0	94.83	0	0.48	0	12	0
NC1=NC=NC2=C1N=C[N]2C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O	CHEMBL14249	ChEMBL23_NatProd	2	0	3.408	1.033	4.229	inf	-0.1634	0.6296	-1.255	inf	5.025	inf	2.636	1.734	-1.659	inf	-	- = 0.91;+ = 0.09;	-	- = 0.933333;+ = 0.0666667;	yes	no = 0.49;yes = 0.51;	low	low = 0.782609;medium = 0.130435;high = 0.0434783;very high = 0.0434783;	low	low = 0.88;high = 0.12;	507.2	0	7	0	18	0	279.1	0	0.2424	0	8	0
COC(=O)C1C(O)CCC2CN3CCC4=C([NH]C5=CC=CC=C45)C3CC12	CHEMBL15245	ChEMBL23_NatProd	2	0	4.31	1.033	1.089	0.621	3.132	0.4351	1.435	inf	4.67	inf	5.267	0.483	-0.2569	0.3585	-	- = 0.55;+ = 0.45;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.08;yes = 0.92;	very high	low = 0.125;medium = 0.125;high = 0.1865;very high = 0.5625;	low	low = 0.74;high = 0.26;	354.4	0	2	0	5	0	65.56	0	0.06667	0	2	0
