Structure	ID	MOLLIBRARY	MOLLIBRARY_INT	MOLLIBRARY_INT_StdDev	logS	logS_StdDev	logS @ pH7.4	logS @ pH7.4_StdDev	logP	logP_StdDev	logD	logD_StdDev	2C9 pKi	2C9 pKi_StdDev	hERG pIC50	hERG pIC50_StdDev	BBB log([brain]:[blood])	BBB log([brain]:[blood])_StdDev	BBB category	BBB category_Probability	HIA category	HIA category_Probability	P-gp category	P-gp category_Probability	2D6 affinity category	2D6 affinity category_Probability	PPB90 category	PPB90 category_Probability	MW	MW_StdDev	HBD	HBD_StdDev	HBA	HBA_StdDev	TPSA	TPSA_StdDev	Flexibility	Flexibility_StdDev	Rotatable Bonds	Rotatable Bonds_StdDev
CCCCCCC(CCCCCC(O)C(N)=O)OC(=O)C1CC=CN1C(=O)C2=CC=CC=C2O	NCGC00488475-01	CANVASS	1	0	1.81	1.033	1.81	1.033	3.584	0.4351	3.584	0.4351	4.837	0.6013	4.959	0.7318	-0.8841	0.3585	-	- = 0.83;+ = 0.17;	-	- = 0.933333;+ = 0.0666667;	yes	no = 0.26;yes = 0.74;	high	low = 0.133333;medium = 0.2;high = 0.6;very high = 0.0666667;	low	low = 0.65;high = 0.35;	474.6	0	3	0	8	0	130.2	0	0.4857	0	17	0
CCC(=O)NC(CC(C)C(Cl)(Cl)Cl)C(=O)N1C(CC(C)CCl)C(=CC1=O)OC	NCGC00488483-01	CANVASS	1	0	1.619	1.033	1.619	1.033	3.599	0.4351	3.599	0.4351	4.801	0.6013	4.298	0.787	-0.3822	0.3585	-	- = 0.76;+ = 0.24;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.37;yes = 0.63;	high	low = 0.133333;medium = 0.2;high = 0.6;very high = 0.0666667;	low	low = 0.73;high = 0.27;	476.2	0	1	0	6	0	75.71	0	0.4286	0	12	0
CC1(C)OC2=C(C=C1)C3=C(CC(CO3)C4=C(O)C=C(O)C=C4)C=C2	NCGC00247524-06	CANVASS	1	0	1.767	0.7036	1.767	0.7036	3.625	0.4351	3.625	0.4351	5.668	0.6013	5.243	0.5409	-0.5892	0.3585	+	- = 0.29;+ = 0.71;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.57;yes = 0.43;	high	low = 0.0454545;medium = 0.227273;high = 0.5;very high = 0.227273;	low	low = 0.54;high = 0.46;	324.4	0	2	0	4	0	58.92	0	0.03704	0	1	0
CC(C)C=CC(=O)C(C)C1CC[C@@](C)(O1)C=C	NCGC00488489-01	CANVASS	1	0	3.089	1.033	3.089	1.033	3.672	0.4351	3.672	0.4351	4.649	0.6013	4.92	0.549	0.2544	0.3585	+	- = 0.25;+ = 0.75;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.78;yes = 0.22;	very high	low = 0.125;medium = 0.125;high = 0.1865;very high = 0.5625;	low	low = 0.69;high = 0.31;	236.4	0	0	0	2	0	26.3	0	0.2941	0	5	0
CC(C)C=CC(=O)C(C)C1CC[C@](C)(O1)C=C	NCGC00488488-01	CANVASS	1	0	3.089	1.033	3.089	1.033	3.672	0.4351	3.672	0.4351	4.649	0.6013	4.92	0.549	0.2544	0.3585	+	- = 0.25;+ = 0.75;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.78;yes = 0.22;	very high	low = 0.125;medium = 0.125;high = 0.1865;very high = 0.5625;	low	low = 0.69;high = 0.31;	236.4	0	0	0	2	0	26.3	0	0.2941	0	5	0
COC1=C(OC)C=C(C=C1)C2C(C)C(C)C(=O)C3=C2C=C4OCOC4=C3	NCGC00488564-01	CANVASS	1	0	0.9924	0.7036	0.9924	0.7036	3.713	0.4351	3.713	0.4351	5.645	0.6013	5.178	0.5907	0.2761	inf	-	- = 0.64;+ = 0.36;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.85;yes = 0.15;	very high	low = 0.125;medium = 0.125;high = 0.1865;very high = 0.5625;	high	low = 0.42;high = 0.58;	354.4	0	0	0	5	0	53.99	0	0.1034	0	3	0
COC1=CC2=C(C=C1OC)C(=O)C(C)C(C)C2C3=CC4=C(OCO4)C=C3	NCGC00488561-01	CANVASS	1	0	0.9924	0.7036	0.9924	0.7036	3.713	0.4351	3.713	0.4351	5.657	0.6013	5.188	0.5905	0.2761	inf	-	- = 0.64;+ = 0.36;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.85;yes = 0.15;	very high	low = 0.125;medium = 0.125;high = 0.1865;very high = 0.5625;	high	low = 0.42;high = 0.58;	354.4	0	0	0	5	0	53.99	0	0.1034	0	3	0
COC1=CC2=C(C=C1OC)C(=O)C(C)C(C)C2C3=CC4=C(OCO4)C=C3	NCGC00488562-01	CANVASS	1	0	0.9924	0.7036	0.9924	0.7036	3.713	0.4351	3.713	0.4351	5.657	0.6013	5.188	0.5905	0.2761	inf	-	- = 0.64;+ = 0.36;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.85;yes = 0.15;	very high	low = 0.125;medium = 0.125;high = 0.1865;very high = 0.5625;	high	low = 0.42;high = 0.58;	354.4	0	0	0	5	0	53.99	0	0.1034	0	3	0
COC1=C(OC)C=C(C=C1)C2C(C)C(C)C(=O)C3=C2C=C4OCOC4=C3	NCGC00488563-01	CANVASS	1	0	0.9924	0.7036	0.9924	0.7036	3.713	0.4351	3.713	0.4351	5.645	0.6013	5.178	0.5907	0.2761	inf	-	- = 0.64;+ = 0.36;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.85;yes = 0.15;	very high	low = 0.125;medium = 0.125;high = 0.1865;very high = 0.5625;	high	low = 0.42;high = 0.58;	354.4	0	0	0	5	0	53.99	0	0.1034	0	3	0
CC1=C2CC[C@]3(C)C(CC=C4C5CC(C)(C)CCC5C(=O)C(O)[C@@]34C)[C@@]2(C)C=C(O)C1=O	NCGC00488546-01	CANVASS	1	0	1.255	1.033	1.255	1.033	3.714	0.4351	3.714	0.4351	5.11	inf	4.738	0.96	-0.3385	inf	-	- = 0.5001;+ = 0.4999;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.07;yes = 0.93;	medium	low = 0.249967;medium = 0.2501;high = 0.249967;very high = 0.249967;	high	low = 0.39;high = 0.61;	438.6	0	2	0	4	0	74.6	0	0	0	0	0
