ID	Structure	bms	sk_struct	idx	closest_order	bucket_id	embedded_hs_coordinates	Dim_1	Dim_2
DB00120	NC(CC1=CC=CC=C1)C(O)=O	c1ccccc1	6 0 0 1 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	11	135	160	11;12	11	12
DB00121	OC(=O)CCCCC1SC[C@@H]2NC(=O)N[C@H]12	O=C1N[C@@H]2CSC[C@@H]2N1	8 0 0 2 0 5 0 0 3 0 1 0 2 4 0 1 1 2 0 0 0 1 3 0 2 0 1 0 0 0 1 0	12	355	419	29;13	29	13
DB00126	OCC(O)[C@H]1OC(=O)C(=C1O)O	O=C1C=CCO1	5 0 0 1 0 5 0 1 1 0 0 1 0 2 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0	13	94	112	7;12	7	12
DB00131	NC1=NC=NC2=C1N=C[N]2C3OC(CO[P](O)(O)=O)C(O)C3O	c1ncc2ncn(C3CCCO3)c2n1	14 0 0 3 0 6 2 0 7 0 0 1 6 5 0 0 1 4 0 0 0 4 3 0 0 0 3 0 2 2 0 2	14	4232	4988	87;10	87	10
DB00135	NC(CC1=CC=C(O)C=C1)C(O)=O	c1ccccc1	6 0 0 1 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	15	135	160	11;12	11	12
DB00136	CC(CCCC(C)(C)O)[C@H]1CC[C@H]2C(CCC[C@]12C)=CC=C3CC(O)CC(O)C3=C	C=C1CCCCC1=CC=C1CCCC2CCC[C@@H]12	17 2 3 3 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 3 0	16	11792	13898	44;69	44	69
DB00146	CC(CCCC(C)(C)O)[C@H]1CC[C@H]2C(CCC[C@]12C)=CC=C3CC(O)CCC3=C	C=C1CCCCC1=CC=C1CCCC2CCC[C@@H]12	17 2 3 3 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 3 0	17	11792	13898	44;69	44	69
DB00147	CC1=NC=C(CO)C(=C1O)C=O	c1ccncc1	6 0 0 1 0 6 1 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	18	143	170	14;15	14	15
DB00150	NC(CC1=C[NH]C2=C1C=CC=C2)C(O)=O	c1ccc2[nH]ccc2c1	9 0 0 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0	19	525	620	30;23	30	23
DB00153	CC(C)C(C)C=CC(C)[C@H]1CC[C@H]2C(CCC[C@]12C)=CC=C3CC(O)CCC3=C	C=C1CCCCC1=CC=C1CCCC2CCC[C@@H]12	17 2 3 3 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 3 0	20	11792	13898	44;69	44	69
DB00162	CC(=C\CO)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C	C1=CCCCC1	6 0 0 1 0 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	21	191	226	11;2	11	2
DB00163	CC(C)CCCC(C)CCCC(C)CCC[C@]1(C)CCC2=C(O1)C(=C(C)C(=C2C)O)C	c1ccc2c(c1)CCCO2	10 0 0 2 0 6 1 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0	22	931	1098	10;35	10	35
DB00165	CC1=NC=C(CO)C(=C1O)CO	c1ccncc1	6 0 0 1 0 6 1 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	23	143	170	14;15	14	15
DB00166	OC(=O)CCCCC1CCSS1	C1CSSC1	5 0 0 1 0 5 0 0 2 0 2 0 0 2 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	24	71	85	0;14	0	14
