scaffold_id	Dim_1	Dim_2	color
scaffold.20148	-21.389132	21.206676	1
scaffold.26725	-19.911312	7.76723	1
scaffold.25812	10.205362	27.526506	1
scaffold.18107	22.495344	0.45549655	1
scaffold.18141	21.732922	0.8436236	1
scaffold.25001	1.5026914	4.824044	1
scaffold.35104	29.63059	-10.494418	1
scaffold.34486	27.89646	-16.403305	1
scaffold.40875	-25.19618	21.01006	1
scaffold.37081	-39.973488	-1.535963	1
scaffold.74146	24.594578	6.791175	1
scaffold.23492	10.29078	23.461863	1
scaffold.19207	10.414217	23.32635	1
scaffold.17891	8.503949	24.194197	1
scaffold.15663	-8.466614	15.970349	1
scaffold.17120	-25.445076	21.165634	1
scaffold.17343	2.5402207	8.071918	1
scaffold.17344	8.399057	24.06407	1
scaffold.25283	-7.5157003	-24.939116	1
scaffold.32655	-0.43841392	-6.3566723	1
scaffold.23692	-7.5405145	-24.995049	1
scaffold.32108	-0.39757586	-6.3943696	1
scaffold.34185	-0.50221914	-6.3183365	1
scaffold.32556	-0.39559135	-6.3856816	1
scaffold.34450	5.7317314	11.810225	1
scaffold.60562	5.747413	11.821642	1
scaffold.15887	7.9771748	24.585705	1
scaffold.14840	7.977149	24.585829	1
scaffold.17519	8.82848	24.244564	1
scaffold.17502	8.827805	24.244757	1
scaffold.17494	8.393459	23.96994	1
scaffold.14842	8.114667	24.129658	1
scaffold.15817	8.392692	23.969536	1
scaffold.14825	7.7805963	24.028978	1
scaffold.14833	8.407627	23.9502	1
scaffold.15776	7.780559	24.028946	1
scaffold.19251	7.780605	24.028975	1
scaffold.15770	4.943822	21.312788	1
scaffold.18059	8.35421	21.397701	1
scaffold.17517	4.943806	21.312763	1
scaffold.14837	-7.817819	9.7325945	1
scaffold.15339	-7.1202254	9.293207	1
scaffold.15252	-8.27021	9.98176	1
scaffold.15607	-8.256697	10.297183	1
scaffold.26165	-16.564556	-28.147911	1
scaffold.22790	-25.420498	-17.396612	1
scaffold.27856	-8.807461	-23.802425	1
scaffold.23460	-8.834235	-23.835718	1
scaffold.22553	-8.83384	-23.78089	1
scaffold.27154	51.122013	-6.98449	1
scaffold.23079	-25.437748	-18.359013	1
scaffold.34771	-19.330217	-1.7361687	1
scaffold.39528	5.684193	11.81875	1
scaffold.17363	-7.0831413	9.386702	1
scaffold.20088	5.440456	20.859539	1
scaffold.18094	5.440423	20.859606	1
scaffold.15881	5.846305	21.535791	1
scaffold.19298	5.299517	21.088985	1
scaffold.18198	8.315868	21.348885	1
scaffold.15464	7.8797207	25.354687	1
scaffold.15870	7.257415	23.868755	1
scaffold.19284	7.257415	23.868755	1
scaffold.20197	4.563591	21.537836	1
scaffold.15801	-13.436664	12.589365	1
scaffold.15440	-8.210484	10.286256	1
scaffold.16411	-8.019246	9.788579	1
scaffold.14948	-13.319314	12.603397	1
scaffold.16001	-23.009186	19.795048	1
scaffold.15317	-7.8202863	9.707061	1
scaffold.15619	10.251909	27.282316	1
scaffold.16412	4.526406	21.412388	1
scaffold.15712	-13.644426	12.123582	1
scaffold.15054	-22.70779	20.134672	1
scaffold.17727	7.9110208	24.503494	1
scaffold.16852	4.135493	22.171562	1
scaffold.16773	7.9543867	24.493738	1
scaffold.15253	8.001401	24.40931	1
scaffold.15892	8.001372	24.40928	1
scaffold.16378	8.1113615	24.042196	1
scaffold.15116	-8.347093	10.241442	1
scaffold.16426	-6.3307548	9.47836	1
scaffold.18189	8.024366	24.50323	1
scaffold.21749	-9.391277	11.05807	1
scaffold.17441	-19.821331	7.76941	1
scaffold.27520	-25.396708	-17.334835	1
scaffold.22885	-25.242847	-9.519138	1
scaffold.25752	-25.227865	-9.368786	1
scaffold.22590	-25.345205	-9.623294	1
scaffold.22888	-22.233284	-10.410791	1
scaffold.23206	-22.538624	-10.464517	1
scaffold.34162	-19.39618	-1.769027	1
scaffold.14832	-7.9303713	15.9276705	1
scaffold.14834	-7.985707	15.917445	1
scaffold.15793	-8.35733	15.690794	1
scaffold.15272	-3.773138	18.035631	1
scaffold.16591	-4.8899465	18.626753	1
scaffold.24476	-12.613118	-3.020081	1
scaffold.24491	-12.502163	-2.8338003	1
scaffold.25846	-12.431273	-2.6112626	1
scaffold.23662	-12.95792	-3.509119	1
scaffold.22225	-12.597919	-2.8767436	1
scaffold.60745	0.3049343	10.650493	2
scaffold.60821	6.235401	23.783281	2
scaffold.61927	6.234723	23.782833	2
scaffold.60717	-4.215209	0.71331793	2
scaffold.64681	6.0823565	21.10382	2
scaffold.62040	6.490515	24.754614	2
scaffold.61009	6.492303	24.754293	2
scaffold.62033	-1.1767358	21.899876	2
scaffold.65051	-1.1766881	21.899881	2
scaffold.65392	9.894986	24.959044	2
scaffold.62796	9.893107	24.958555	2
scaffold.63713	-12.907947	12.975132	2
scaffold.59998	-14.93592	22.28297	2
scaffold.61155	6.0958037	23.816082	2
scaffold.60103	6.1067343	23.72569	2
scaffold.60092	6.0882597	23.71528	2
scaffold.62031	5.985474	23.757317	2
scaffold.61760	6.592808	23.868017	2
scaffold.66619	4.532088	22.765232	2
