scaffold_id	Dim_1	Dim_2	color
scaffold.20148	22.443876	-27.865406	1
scaffold.26725	3.1892455	-5.598456	1
scaffold.25812	27.31659	2.7116785	1
scaffold.18107	4.4135394	25.189566	1
scaffold.18141	5.319055	21.80583	1
scaffold.25001	1.7701756	3.9004357	1
scaffold.35104	-7.6946354	43.390907	1
scaffold.34486	-7.9079585	43.309	1
scaffold.40875	20.4326	-31.720648	1
scaffold.37081	0.075864494	-42.157394	1
scaffold.74146	5.2135997	29.356348	1
scaffold.23492	29.142622	18.43082	1
scaffold.19207	28.641298	18.064941	1
scaffold.17891	25.99387	-2.5702412	1
scaffold.15663	12.88888	-9.272613	1
scaffold.17120	20.523447	-32.144497	1
scaffold.17343	0.6983997	2.7228477	1
scaffold.17344	26.014956	-2.5497882	1
scaffold.25283	-24.692942	-5.704308	1
scaffold.32655	-24.1344	-6.2552567	1
scaffold.23692	-24.867872	-5.663658	1
scaffold.32108	-24.000048	-6.311153	1
scaffold.34185	-24.218985	-6.2129345	1
scaffold.32556	-23.987843	-6.338177	1
scaffold.34450	15.303495	1.748986	1
scaffold.60562	15.308504	1.7650087	1
scaffold.15887	26.248226	-3.4336016	1
scaffold.14840	26.248116	-3.4334593	1
scaffold.17519	25.41473	-2.3077624	1
scaffold.17502	25.41527	-2.3080387	1
scaffold.17494	25.870594	-2.3036003	1
scaffold.14842	25.920134	-2.8117883	1
scaffold.15817	25.870848	-2.3035817	1
scaffold.14825	25.5748	-3.1205218	1
scaffold.14833	25.907646	-2.3118656	1
scaffold.15776	25.572363	-3.11447	1
scaffold.19251	25.57366	-3.1139145	1
scaffold.15770	23.879276	2.1312551	1
scaffold.18059	22.696487	-1.1302482	1
scaffold.17517	23.879622	2.1311285	1
scaffold.14837	7.601209	-5.138033	1
scaffold.15339	5.947831	-4.5825477	1
scaffold.15252	7.6624703	-5.6908283	1
scaffold.15607	7.015034	-5.604307	1
scaffold.26165	-28.841574	-18.592068	1
scaffold.22790	-28.602692	-18.655962	1
scaffold.27856	-25.576172	-7.4575233	1
scaffold.23460	-25.477892	-7.4533477	1
scaffold.22553	-25.55822	-7.480178	1
scaffold.27154	27.420654	52.635918	1
scaffold.23079	-28.57308	-18.599676	1
scaffold.34771	-7.946572	-20.571947	1
scaffold.39528	15.296358	1.722129	1
scaffold.17363	5.578359	-4.8495045	1
scaffold.20088	24.098503	2.5831563	1
scaffold.18094	24.098566	2.5831563	1
scaffold.15881	25.021915	4.205397	1
scaffold.19298	23.906464	2.3906603	1
scaffold.18198	22.72558	-1.1523744	1
scaffold.15464	26.526903	-3.6045344	1
scaffold.15870	25.246525	-3.2816648	1
scaffold.19284	25.246572	-3.2816534	1
scaffold.20197	23.870716	1.7144252	1
scaffold.15801	8.934267	-12.633061	1
scaffold.15440	6.9703	-5.572956	1
scaffold.16411	7.622338	-5.3869567	1
scaffold.14948	8.847631	-12.517858	1
scaffold.16001	14.912407	-23.86896	1
scaffold.15317	7.66115	-5.102986	1
scaffold.15619	27.152527	2.4434876	1
scaffold.16412	24.045097	1.616427	1
scaffold.15712	9.092115	-13.11096	1
scaffold.15054	14.946087	-24.045847	1
scaffold.17727	26.125446	-3.509347	1
scaffold.16852	23.95185	1.2910949	1
scaffold.16773	26.17958	-3.456683	1
scaffold.15253	26.027351	-3.1198962	1
scaffold.15892	26.027435	-3.1198776	1
scaffold.16378	25.804604	-2.8392167	1
scaffold.15116	7.7566113	-5.7457733	1
scaffold.16426	6.753052	-3.2973926	1
scaffold.18189	26.232315	-3.4200146	1
scaffold.21749	8.457333	-6.3421135	1
scaffold.17441	3.233009	-5.5267825	1
scaffold.27520	-28.51773	-18.708477	1
scaffold.22885	-11.592614	-28.696156	1
scaffold.25752	-11.430556	-28.527576	1
scaffold.22590	-11.676266	-28.59012	1
scaffold.22888	-15.557371	-26.20746	1
scaffold.23206	-15.536127	-26.384125	1
scaffold.34162	-8.000945	-20.590733	1
scaffold.14832	12.864954	-8.552749	1
scaffold.14834	12.946218	-8.7191305	1
scaffold.15793	12.636112	-9.231074	1
scaffold.15272	14.940179	-4.914741	1
scaffold.16591	16.40831	-6.085306	1
scaffold.24476	-3.4438224	-11.505903	1
scaffold.24491	-3.2385612	-11.476243	1
scaffold.25846	-3.1291533	-11.422952	1
scaffold.23662	-8.504991	-20.42942	1
scaffold.22225	-3.433179	-11.462699	1
scaffold.60745	4.539889	2.7773523	2
scaffold.60821	23.76355	-2.7942424	2
scaffold.61927	23.763323	-2.7942867	2
scaffold.60717	3.3581798	4.8244686	2
scaffold.64681	24.330357	2.8958216	2
scaffold.62040	25.880661	-4.765171	2
scaffold.61009	25.879946	-4.76418	2
scaffold.62033	24.68342	-5.1482387	2
scaffold.65051	24.683393	-5.1482816	2
scaffold.65392	24.567339	-2.1589837	2
scaffold.62796	24.567339	-2.1589837	2
scaffold.63713	8.69995	-11.785056	2
scaffold.59998	18.875774	-16.098091	2
scaffold.61155	23.846552	-3.0824308	2
scaffold.60103	23.69337	-2.7721262	2
scaffold.60092	23.683893	-2.773768	2
scaffold.62031	23.777893	-3.1710343	2
scaffold.61760	23.859022	-3.404224	2
scaffold.66619	25.359573	1.1183511	2
scaffold.66137	25.359093	1.1187266	2
scaffold.70532	23.870327	-2.7649105	2
scaffold.63151	24.823854	2.4164143	2
scaffold.66124	3.6974292	4.360198	2
scaffold.61657	18.499954	-32.236267	2
scaffold.81887	-0.09753459	-27.870283	2
scaffold.78828	-3.0674841	-31.965673	2
scaffold.78832	-1.3708856	-46.547783	2
scaffold.78827	-17.637583	-28.758247	2
scaffold.104851	49.564213	9.809478	2
scaffold.117068	21.513523	3.066666	2
scaffold.131240	49.234745	9.9414425	2
scaffold.59848	12.262041	-8.141904	2
scaffold.60358	15.957562	-3.1098602	2
scaffold.62291	17.430325	-8.063273	2
scaffold.60754	11.594043	-10.338847	2
scaffold.78877	-2.833215	-11.03168	2
scaffold.85317	-1.5505298	-11.280448	2
scaffold.117198	49.62397	10.304195	2
scaffold.73504	25.903837	1.7281586	2
scaffold.63674	24.607227	-5.091315	2
scaffold.63779	0.007843226	-28.309338	2
scaffold.61535	8.689117	-11.404032	2
scaffold.78018	8.707141	-11.319042	2
scaffold.70115	14.926191	-24.072916	2
scaffold.71034	25.39385	1.1747595	2
scaffold.65390	10.048309	-11.50069	2
scaffold.67877	18.4646	-32.301903	2
scaffold.62731	10.086376	-11.637325	2
scaffold.60676	27.210064	1.4054611	2
scaffold.61006	-0.52108365	-22.922646	2
scaffold.61290	2.0293026	-46.660652	2
scaffold.65095	25.449636	-4.7235804	2
scaffold.60652	25.85871	-4.6965175	2
scaffold.63175	7.760292	-35.98818	2
scaffold.62287	10.714357	-11.445377	2
scaffold.62346	3.7989717	4.4507675	2
