scaffold_id	Dim_1	Dim_2	color
scaffold.20148	17.50359	-27.82469	1
scaffold.26725	3.42388	-11.81592	1
scaffold.25812	25.446922	4.935918	1
scaffold.18107	7.371593	22.739273	1
scaffold.18141	7.5951953	20.222326	1
scaffold.25001	3.5732627	1.152371	1
scaffold.35104	-6.089833	34.24659	1
scaffold.34486	-15.674798	35.2276	1
scaffold.40875	14.792121	-31.430494	1
scaffold.37081	-4.1595073	-39.763237	1
scaffold.74146	10.68779	25.150618	1
scaffold.23492	29.515327	4.1368265	1
scaffold.19207	29.018393	4.4309063	1
scaffold.17891	22.207945	-3.8043666	1
scaffold.15663	12.301612	-12.040972	1
scaffold.17120	15.008589	-31.769854	1
scaffold.17343	4.3590713	2.0394561	1
scaffold.17344	22.115028	-3.775245	1
scaffold.25283	-27.0298	-1.2058237	1
scaffold.32655	-8.153399	4.7080336	1
scaffold.23692	-27.186304	-1.213222	1
scaffold.32108	-8.189468	4.747418	1
scaffold.34185	-8.138885	4.6377225	1
scaffold.32556	-8.173541	4.7408657	1
scaffold.34450	13.1734705	-1.0483727	1
scaffold.60562	13.180623	-1.0335699	1
scaffold.15887	21.733612	-4.3761845	1
scaffold.14840	21.736454	-4.377839	1
scaffold.17519	22.312384	-3.3436458	1
scaffold.17502	22.31201	-3.3432403	1
scaffold.17494	22.200891	-3.5591493	1
scaffold.14842	21.875097	-3.8411992	1
scaffold.15817	22.200891	-3.5591493	1
scaffold.14825	21.417957	-3.7818782	1
scaffold.14833	22.227633	-3.5803971	1
scaffold.15776	21.41719	-3.7836473	1
scaffold.19251	21.417303	-3.783556	1
scaffold.15770	22.80073	3.1689923	1
scaffold.18059	17.290895	0.6439359	1
scaffold.17517	22.800634	3.1690416	1
scaffold.14837	7.865692	-7.3218126	1
scaffold.15339	7.77063	-6.2719517	1
scaffold.15252	7.790479	-7.7999115	1
scaffold.15607	8.092194	-7.9630966	1
scaffold.26165	-29.986547	-12.161223	1
scaffold.22790	-30.112415	-12.307309	1
scaffold.27856	-27.690023	-2.9630687	1
scaffold.23460	-27.626762	-2.930924	1
scaffold.22553	-27.672644	-2.9900403	1
scaffold.27154	12.491908	47.412685	1
scaffold.23079	-29.956367	-12.604041	1
scaffold.34771	-8.351994	-19.15028	1
scaffold.39528	13.157677	-1.092954	1
scaffold.17363	8.031997	-6.189224	1
scaffold.20088	23.005617	3.715125	1
scaffold.18094	23.005457	3.715224	1
scaffold.15881	23.615023	3.4577487	1
scaffold.19298	22.877003	3.5015266	1
scaffold.18198	17.309145	0.6518868	1
scaffold.15464	21.634626	-5.107304	1
scaffold.15870	20.92997	-3.64736	1
scaffold.19284	20.92997	-3.64736	1
scaffold.20197	22.70116	2.7139487	1
scaffold.15801	7.4181056	-13.748972	1
scaffold.15440	8.101248	-7.9040966	1
scaffold.16411	7.771827	-7.5239863	1
scaffold.14948	7.5428157	-13.67121	1
scaffold.16001	13.9470215	-29.262842	1
scaffold.15317	7.888844	-7.2739663	1
scaffold.15619	25.502474	4.9788427	1
scaffold.16412	22.794876	2.6752586	1
scaffold.15712	6.9455466	-13.850329	1
scaffold.15054	14.273724	-29.123394	1
scaffold.17727	21.630127	-4.3088174	1
scaffold.16852	22.756956	2.2873693	1
scaffold.16773	21.715706	-4.29494	1
scaffold.15253	21.821274	-4.090519	1
scaffold.15892	21.821552	-4.090642	1
