bms	order	scaffold_id	scaffold_key
C1=CCCCC1	12	CHEMBL705	6 0 0 1 0 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 HGCIXCUEYOPUTN-UHFFFAOYSA-N
c1ccccc1	13	CHEMBL1131	6 0 0 1 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 UHOVQNZJYSORNB-UHFFFAOYSA-N
c1cncnc1	14	CHEMBL355200	6 0 0 1 0 6 1 0 2 0 0 0 2 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 CZPWVGJYEJSRLH-UHFFFAOYSA-N
C=C1CN2C(=O)CC2O1	15	CHEMBL1003	7 0 0 2 0 5 0 0 4 0 0 1 3 3 0 0 2 1 0 0 0 1 1 0 2 0 1 0 0 1 2 1 RFLJWRKVLXOZNS-UHFFFAOYSA-N
O=C1CC2SCCN12	16	CHEMBL73622	7 0 0 2 0 5 0 0 4 0 1 0 3 3 0 1 1 1 0 0 0 1 1 0 1 0 1 0 0 1 1 1 WSHJJCPTKWSMRR-UHFFFAOYSA-N
O=C1CC2N1CCS2(=O)=O	17	CHEMBL423875	7 0 0 2 0 5 0 0 9 0 6 0 3 5 0 1 3 1 0 0 0 1 1 2 1 0 1 0 0 1 3 1 ATDKHBKTGDEJCJ-UHFFFAOYSA-N
C1=CC2CCC2C1	18	CHEMBL3545125	7 0 0 2 0 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 SLCAVPTUVCCIIB-UHFFFAOYSA-N
O=C1CC2CC=CN12	19	CHEMBL43708	7 0 0 2 0 5 0 1 3 0 0 0 3 2 0 0 1 1 0 0 0 0 0 0 2 0 1 0 0 1 1 1 YZBQHRLRFGPBSL-UHFFFAOYSA-N
O=C1CC2SC=CN12	20	CHEMBL70088	7 0 0 2 0 5 0 1 4 0 1 0 3 3 0 1 1 1 0 0 0 1 0 0 3 0 1 0 0 1 1 1 HHXMXAQDOUCLDN-UHFFFAOYSA-N
C1CC2CCCC2C1	21	CHEMBL2106962	8 0 0 2 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 AEBWATHAIVJLTA-UHFFFAOYSA-N
