scaffold_id	Dim_1	Dim_2	color
scaffold.65390	12.3460045	-22.214493	2
scaffold.67877	0.9878018	-65.837036	2
scaffold.62731	12.381502	-22.29785	2
scaffold.60676	-41.142002	-35.175957	2
scaffold.61006	2.029634	-36.60093	2
scaffold.61290	-14.099411	-49.682774	2
scaffold.65095	-17.561687	-65.221695	2
scaffold.60652	-47.14418	-16.435593	2
scaffold.63175	-3.6187093	-42.044086	2
scaffold.62287	11.630077	-22.086464	2
scaffold.62346	9.575363	-6.0501175	2
scaffold.64488	19.438965	-14.557395	2
scaffold.61731	18.272804	-61.2301	2
scaffold.90794	-15.532537	-18.709726	2
scaffold.82578	-5.408325	-36.749687	2
scaffold.78868	-5.8566713	-26.535408	2
scaffold.80409	-2.4548247	-37.789215	2
scaffold.79837	-20.925358	-31.391365	2
scaffold.81737	1.1453059	-66.09502	2
scaffold.79578	-13.129259	-57.56859	2
scaffold.81258	0.92998934	-65.910225	2
scaffold.80295	-16.922567	-19.03499	2
scaffold.83236	1.3993583	-37.077003	2
scaffold.79653	-20.09192	-22.196255	2
scaffold.85413	-14.274509	-47.998314	2
scaffold.79925	-20.474695	-32.976162	2
scaffold.80298	-3.8929534	-42.65611	2
scaffold.82426	-13.324121	-47.091625	2
scaffold.94734	-56.171787	5.1303735	2
scaffold.102134	-52.918736	15.364963	2
scaffold.103930	-52.63119	15.427545	2
scaffold.114145	-55.679398	10.7634945	2
scaffold.157204	-44.07479	10.131103	2
scaffold.157206	-43.77885	13.880722	2
scaffold.78016	12.336304	-18.780283	2
scaffold.61144	14.07842	-18.385935	2
scaffold.60166	13.919899	-18.426735	2
scaffold.61825	14.680254	-18.439423	2
scaffold.64545	39.409184	-44.336185	2
scaffold.60812	19.771027	-18.289757	2
scaffold.60730	50.913242	-18.887325	2
scaffold.61010	14.129353	-18.43104	2
scaffold.61854	20.879913	-19.737371	2
scaffold.62873	12.920592	-29.692505	2
scaffold.84640	4.9140043	-56.86943	2
scaffold.81618	-36.67714	-25.249517	2
scaffold.106168	-55.672363	10.756172	2
scaffold.59999	6.390845	-37.876495	2
scaffold.67128	-51.387	-39.56468	2
scaffold.70783	0.4156982	-60.13663	2
scaffold.70260	-43.02613	-17.174616	2
scaffold.70143	4.5879664	-47.30022	2
scaffold.86650	4.4060783	-47.30299	2
scaffold.81952	2.963448	-50.664173	2
scaffold.65494	1.8690034	-68.975136	2
scaffold.61146	-42.033413	-32.684258	2
scaffold.87542	-56.688843	-39.138336	3
scaffold.112278	-0.831965	-44.526527	3
scaffold.110934	-0.88418955	-44.288593	3
scaffold.95547	-8.975993	9.716449	3
scaffold.101307	-5.29093	3.2379699	3
scaffold.84460	20.163122	53.321877	3
scaffold.62313	-26.731842	-0.95059264	3
scaffold.169097	20.195864	26.329647	3
scaffold.147341	34.839497	37.832882	3
scaffold.62147	1.4098368	-16.730871	3
scaffold.103049	-14.061726	-42.10153	3
scaffold.67311	20.05417	13.766731	3
scaffold.61349	54.521774	32.320454	3
scaffold.102975	-4.308562	11.477854	3
scaffold.111504	-32.47492	1.7391521	3
scaffold.107219	-33.398758	1.4159617	3
scaffold.104864	-56.97723	-23.486076	3
scaffold.134824	-15.387578	7.4871845	3
scaffold.92174	-58.943703	-24.152168	3
scaffold.101000	5.761937	-79.80713	3
scaffold.109634	-2.2231846	27.037962	3
scaffold.169220	37.806423	40.08546	3
scaffold.64660	-33.930412	5.8701515	3
scaffold.68796	6.610821	-8.500521	3
scaffold.85769	3.4882174	22.777756	3
scaffold.70858	5.8303423	-5.375446	3
scaffold.85194	9.933985	58.687717	3
scaffold.80732	9.933935	58.6884	3
scaffold.83591	-2.0088027	55.309387	3
scaffold.95420	-7.442339	17.394398	3
scaffold.104478	7.6040735	32.27347	3
scaffold.64390	-2.0587134	55.429337	3
scaffold.61587	8.287036	-7.7755895	3
scaffold.79022	-8.139398	22.006268	3
scaffold.93235	-54.46851	-24.539274	3
scaffold.111295	-4.40371	11.378778	3
scaffold.100938	-9.437377	11.44696	3
scaffold.112112	-9.757064	20.019825	3
scaffold.102575	-1.0014822	30.880363	3
scaffold.60631	8.861938	-8.043588	3
scaffold.86062	-29.326723	4.362445	3
scaffold.109486	-1.2920431	32.30959	3
scaffold.110488	-1.2771813	25.803738	3
scaffold.109280	-30.83882	2.428775	3
scaffold.109236	-10.127268	20.429804	3
scaffold.109241	-32.640495	3.6439242	3
scaffold.135711	-32.05084	2.1829226	3
scaffold.109167	-0.93768543	30.913528	3
scaffold.111244	-1.8459721	30.905996	3
scaffold.111053	-8.283995	19.21678	3
scaffold.94442	-34.924347	2.9999955	3
scaffold.109702	-27.860064	-11.431565	3
scaffold.73771	9.728766	47.979958	3
scaffold.80915	-33.95522	6.744781	3
scaffold.80916	-33.95522	6.744781	3
scaffold.80610	21.554836	20.380709	3
scaffold.102519	11.901791	18.440075	3
scaffold.100896	10.766059	23.561598	3
scaffold.62833	20.871103	6.699894	3
scaffold.84437	-39.925484	0.48484874	3
scaffold.109751	-38.93225	1.7405906	3
scaffold.109434	16.078056	23.16577	3
scaffold.107004	11.923518	18.439726	3
scaffold.65855	20.020851	5.802723	3
scaffold.89606	-7.030596	3.7612686	3
scaffold.85527	-40.60505	-0.06405429	3
scaffold.110268	16.341043	17.068811	3
scaffold.66801	20.862154	5.594185	3
scaffold.66498	21.129656	5.4880266	3
scaffold.85798	-9.681097	6.2481894	3
scaffold.84439	-39.9824	0.46339887	3
scaffold.109064	16.945724	16.588732	3
scaffold.109206	-38.9435	1.7282931	3
scaffold.67690	20.098303	11.184795	3
scaffold.109324	14.806935	16.751637	3
scaffold.84266	0.14620234	9.029908	3
scaffold.110601	0.05746769	8.970351	3
scaffold.118382	11.892131	16.971132	3
scaffold.67020	0.045664635	1.5413884	3
scaffold.89440	-0.64419246	9.862201	3
scaffold.98426	3.3014085	14.416199	3
scaffold.109679	0.4551424	6.3938146	3
scaffold.65411	20.314579	5.626625	3
scaffold.83719	-7.040174	3.70872	3
scaffold.67084	20.931408	5.259352	3
scaffold.88089	-9.678274	6.267261	3
scaffold.67178	20.10573	11.160498	3
scaffold.135670	-14.919902	7.280567	3
scaffold.137796	-4.440033	11.237026	3
scaffold.134205	-14.908481	10.931007	3
scaffold.82762	-42.676247	0.10938626	3
scaffold.88302	-34.535667	-1.8509153	3
scaffold.109521	-34.52316	-1.7819109	3
scaffold.86061	-34.62154	-2.1703444	3
scaffold.94706	-59.51234	-24.659208	3
scaffold.107179	-51.963806	-24.37532	3
scaffold.138604	-37.197105	1.4211252	3
scaffold.110264	-37.20719	1.423056	3
scaffold.109066	-33.181824	-5.3205123	3
scaffold.87457	-46.879128	-39.944626	3
scaffold.84254	-3.34597	24.602745	3
scaffold.141364	-26.10011	-43.559856	4
scaffold.163336	-25.981348	-43.494167	4
scaffold.162848	-39.24937	11.919656	4
scaffold.162600	-10.003969	30.552124	4
scaffold.162860	-39.449097	11.922157	4
scaffold.134056	23.676304	-57.003048	4
scaffold.162853	-39.878857	10.638924	4
scaffold.159193	-9.99287	30.555256	4
scaffold.163046	-39.517933	10.693056	4
scaffold.164087	-40.155605	10.473025	4
scaffold.164121	-39.628887	10.632235	4
scaffold.153700	-12.054817	-36.70432	4
scaffold.133233	23.646564	-57.016838	4
scaffold.143176	3.9129806	-0.76777637	4
scaffold.163887	-9.997105	30.550236	4
scaffold.155289	-12.053423	-36.68739	4
scaffold.225136	-24.941978	20.699364	4
scaffold.129583	3.9409754	-0.7836304	4
scaffold.142884	3.9273582	-0.7523515	4
scaffold.222371	-39.42497	11.934989	4
scaffold.222441	-40.507008	10.331698	4
scaffold.189282	-33.70149	-32.344135	4
scaffold.140398	-17.94084	-65.25084	4
scaffold.138445	-41.83058	-17.48769	4
scaffold.140381	-42.51562	-18.777357	4
scaffold.140303	-41.95747	-18.166828	4
scaffold.127875	44.58467	-33.27106	4
scaffold.128419	-55.881195	4.4439754	4
scaffold.158334	-3.795415	-23.517353	4
scaffold.156946	-6.3569474	-24.19042	4
scaffold.187934	-4.6099286	-20.243225	4
scaffold.162627	-2.0524487	-23.147015	4
scaffold.205084	6.536927	-22.01035	4
scaffold.234112	-44.182667	10.476688	4
scaffold.151512	2.1216056	-18.75265	4
scaffold.130110	18.624115	-19.80547	4
scaffold.139282	-4.2922425	-68.59857	4
scaffold.140019	44.57016	-32.386288	4
scaffold.193639	-30.898024	16.627056	4
scaffold.159254	-3.9083226	-23.75695	4
scaffold.163582	35.00356	2.979123	4
scaffold.133705	42.01348	-36.071255	4
scaffold.145701	42.030502	-36.102234	4
scaffold.125758	14.216524	-17.944498	4
scaffold.125754	42.026237	-36.06136	4
scaffold.165929	5.305547	-28.456738	4
scaffold.160854	5.003892	-28.108627	4
scaffold.212091	6.558138	-21.996424	4
scaffold.160962	-8.791913	-24.607946	4
scaffold.162264	5.512961	-28.757954	4
scaffold.181671	-20.625978	-39.682854	4
scaffold.160878	-18.637762	-42.6865	4
scaffold.154249	-26.369425	-51.938896	4
scaffold.141087	-47.499203	-31.115847	4
scaffold.127660	-3.6122336	-71.68046	4
scaffold.164508	-9.914165	-39.761448	4
scaffold.166409	-5.118716	-63.30585	4
scaffold.127666	19.494318	-64.14895	4
scaffold.135314	-0.6188208	-61.552322	4
scaffold.132222	49.30095	-16.16587	4
scaffold.131151	50.74517	-30.333462	4
scaffold.164175	-1.632388	-42.44248	4
scaffold.162551	-5.1449957	-63.310417	4
scaffold.164022	-5.1528554	-63.317936	4
scaffold.151984	-42.137817	-32.445614	4
scaffold.134903	-40.036606	-43.602066	4
scaffold.131403	10.613449	-63.56273	4
scaffold.136428	-48.601936	-48.406982	4
