ID_x	Structure_x	bms_x	sk_struct_x	idx_x	closest_order_x	bucket_id_x	embedded_hs_coordinates_x	Dim_1_x	Dim_2_x	is_valid_x	key	ID_y	Structure_y	bms_y	sk_struct_y	idx_y	closest_order_y	bucket_id_y	embedded_hs_coordinates_y	Dim_1_y	Dim_2_y	is_valid_y	not_nn_mol_query	not_nn_mol_target	not_nn_fp_query	not_nn_fp_target	sim
DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C2=C(Cl)C=CC=C2	c1ccc(Cc2ccccc2)cc1	13 1 2 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0	997	3124	3683	34;10	34	10	True	1	DB08924	CC(CC1=CC=CC=C1)N=CC(Cl)(Cl)Cl	c1ccccc1	6 0 0 1 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	1215	135	160	11;12	11	12	True	<rdkit.Chem.rdchem.Mol object at 0x7f9c60eda440>	<rdkit.Chem.rdchem.Mol object at 0x7f9c60e810d0>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e869e0>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e8b260>	0.17647058823529413
DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C2=C(Cl)C=CC=C2	c1ccc(Cc2ccccc2)cc1	13 1 2 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0	997	3124	3683	34;10	34	10	True	1	DB06282	OC(=O)COCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(Cl)C=C3	c1ccc(C(c2ccccc2)N2CCNCC2)cc1	19 1 3 3 0 6 2 0 4 0 0 0 4 2 0 0 0 2 3 0 0 0 2 0 0 0 3 0 3 0 0 0	1076	17519	20647	13;207	13	207	True	<rdkit.Chem.rdchem.Mol object at 0x7f9c60edac10>	<rdkit.Chem.rdchem.Mol object at 0x7f9c60e81120>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e86a30>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e8b2b0>	0.13186813186813187
DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C2=C(Cl)C=CC=C2	c1ccc(Cc2ccccc2)cc1	13 1 2 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0	997	3124	3683	34;10	34	10	True	1	DB06736	OC(=O)COC(=O)CC1=CC=CC=C1NC2=C(Cl)C=CC=C2Cl	c1ccc(Nc2ccccc2)cc1	13 1 2 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0	1125	3283	3870	53;2	53	2	True	<rdkit.Chem.rdchem.Mol object at 0x7f9c60eda7b0>	<rdkit.Chem.rdchem.Mol object at 0x7f9c60e81170>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e86a80>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e8b300>	0.1411764705882353
DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C2=C(Cl)C=CC=C2	c1ccc(Cc2ccccc2)cc1	13 1 2 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0	997	3124	3683	34;10	34	10	True	1	DB11184	OC(=O)CN(CC(O)=O)CC1=CC2=C(OC3=CC(=C(CN(CC(O)=O)CC(O)=O)C=C3C24OC(=O)C5=CC=CC=C45)O)C=C1O	O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21	22 0 0 5 1 6 3 3 2 0 0 2 0 3 0 0 3 0 0 0 0 0 0 0 1 0 6 1 6 9 1 9	1404	27908	32890	137;132	137	132	True	<rdkit.Chem.rdchem.Mol object at 0x7f9c60eda4e0>	<rdkit.Chem.rdchem.Mol object at 0x7f9c60e811c0>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e86ad0>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e8b350>	0.10309278350515463
DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C2=C(Cl)C=CC=C2	c1ccc(Cc2ccccc2)cc1	13 1 2 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0	997	3124	3683	34;10	34	10	True	1	DB00496	NC(=O)C(C1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C4=CC=CC=C4)C5=CC=CC=C5	c1ccc(C(c2ccccc2)C2CCN(CCc3ccc4c(c3)CCO4)C2)cc1	29 3 6 5 0 6 3 1 4 0 0 1 3 2 0 0 1 1 3 0 0 0 0 0 0 0 4 2 3 5 0 5	273	48173	56772	175;86	175	86	True	<rdkit.Chem.rdchem.Mol object at 0x7f9c60eda260>	<rdkit.Chem.rdchem.Mol object at 0x7f9c60e81210>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e86b20>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e8b3a0>	0.125
DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C2=C(Cl)C=CC=C2	c1ccc(Cc2ccccc2)cc1	13 1 2 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0	997	3124	3683	34;10	34	10	True	1	DB08877	N#CCC(C1CCCC1)[N]2C=C(C=N2)C3=NC=NC4=C3C=C[NH]4	c1nc(-c2cnn(CC3CCCC3)c2)c2cc[nH]c2n1	20 1 2 4 0 6 3 0 7 0 0 0 7 5 0 0 0 5 0 1 0 2 0 0 0 0 3 2 2 3 0 3	1195	20822	24539	56;196	56	196	True	<rdkit.Chem.rdchem.Mol object at 0x7f9c60edac60>	<rdkit.Chem.rdchem.Mol object at 0x7f9c60e81260>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e86b70>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e8b3f0>	0.056074766355140186
DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C2=C(Cl)C=CC=C2	c1ccc(Cc2ccccc2)cc1	13 1 2 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0	997	3124	3683	34;10	34	10	True	1	DB00947	C[C@]12CC[C@H]3C(C(CCCCCCCCC[S](=O)CCCC(F)(F)C(F)(F)F)CC4=C3C=CC(=C4)O)[C@@H]1CCC2O	c1ccc2c(c1)CCC1[C@@H]2CCC2CCC[C@H]21	17 0 0 4 0 6 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 4 5 0 5	600	10812	12743	43;113	43	113	True	<rdkit.Chem.rdchem.Mol object at 0x7f9c60edab20>	<rdkit.Chem.rdchem.Mol object at 0x7f9c60e812b0>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e86bc0>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e8b440>	0.08
DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C2=C(Cl)C=CC=C2	c1ccc(Cc2ccccc2)cc1	13 1 2 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0	997	3124	3683	34;10	34	10	True	1	DB08943	ClC1=CC(=C(C=C1)C(C[N]2C=CN=C2)OCC3=C(Cl)C=CC=C3Cl)Cl	c1ccc(COC(Cn2ccnc2)c2ccccc2)cc1	21 4 6 3 0 6 3 0 5 0 0 1 4 3 0 0 1 2 3 0 0 1 2 0 0 0 1 1 0 2 0 2	1222	26682	31445	72;134	72	134	True	<rdkit.Chem.rdchem.Mol object at 0x7f9c60edab70>	<rdkit.Chem.rdchem.Mol object at 0x7f9c60e81300>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e86c10>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e8b490>	0.10752688172043011
DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C2=C(Cl)C=CC=C2	c1ccc(Cc2ccccc2)cc1	13 1 2 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0	997	3124	3683	34;10	34	10	True	1	DB01599	CC(C)(C)C1=C(O)C(=CC(=C1)SC(C)(C)SC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)C(C)(C)C	c1ccc(SCSc2ccccc2)cc1	15 3 4 2 0 6 2 0 2 0 2 0 0 2 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0	942	7152	8429	64;74	64	74	True	<rdkit.Chem.rdchem.Mol object at 0x7f9c60eda490>	<rdkit.Chem.rdchem.Mol object at 0x7f9c60e81350>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e86c60>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e8b4e0>	0.09375
DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C2=C(Cl)C=CC=C2	c1ccc(Cc2ccccc2)cc1	13 1 2 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0	997	3124	3683	34;10	34	10	True	1	DB02546	ONC(=O)CCCCCCC(=O)NC1=CC=CC=C1	c1ccccc1	6 0 0 1 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	976	135	160	11;12	11	12	True	<rdkit.Chem.rdchem.Mol object at 0x7f9c60edad00>	<rdkit.Chem.rdchem.Mol object at 0x7f9c60e813a0>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e86cb0>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e8b530>	0.1232876712328767
