Structure	ID	MOLLIBRARY	MOLLIBRARY_INT	MOLLIBRARY_INT_StdDev	logS	logS_StdDev	logS @ pH7.4	logS @ pH7.4_StdDev	logP	logP_StdDev	logD	logD_StdDev	2C9 pKi	2C9 pKi_StdDev	hERG pIC50	hERG pIC50_StdDev	BBB log([brain]:[blood])	BBB log([brain]:[blood])_StdDev	BBB category	BBB category_Probability	HIA category	HIA category_Probability	P-gp category	P-gp category_Probability	2D6 affinity category	2D6 affinity category_Probability	PPB90 category	PPB90 category_Probability	MW	MW_StdDev	HBD	HBD_StdDev	HBA	HBA_StdDev	TPSA	TPSA_StdDev	Flexibility	Flexibility_StdDev	Rotatable Bonds	Rotatable Bonds_StdDev
NC(CC1=CN=C[NH]1)C(O)=O	DB00117	DrugBank Approved 5.0.9	4	0	5.47	1.033	4.283	0.621	-3.56	0.4351	-3.474	0.5843	3.552	0.6013	2.298	0.6324	-1.269	0.3585	-	- = 0.93;+ = 0.07;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.71;yes = 0.29;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 1;high = 0;	155.2	0	3	0	5	0	92	0	0.2727	0	3	0
C[SH](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)[N]2C=NC3=C(N)N=CN=C23	DB00118	DrugBank Approved 5.0.9	4	0	3.997	1.033	3.164	inf	-3.469	0.4351	-2.879	inf	4.7	inf	3.203	1.014	-1.773	inf	-	- = 0.92;+ = 0.08;	-	- = 0.933333;+ = 0.0666667;	yes	no = 0.27;yes = 0.73;	low	low = 0.2501;medium = 0.249967;high = 0.249967;very high = 0.249967;	low	low = 0.82;high = 0.18;	400.5	0	5	0	11	0	182.6	0	0.2414	0	7	0
CC(=O)C(O)=O	DB00119	DrugBank Approved 5.0.9	4	0	7.06	0.7036	4.104	0.621	-0.5118	0.4351	-2.803	0.5843	3.948	0.6013	2.718	0.5505	-1.073	0.3585	+	- = 0.28;+ = 0.72;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.96;yes = 0.04;	low	low = 0.545455;medium = 0.272727;high = 0.0909091;very high = 0.0909091;	low	low = 0.99;high = 0.01;	88.06	0	1	0	3	0	54.37	0	0.2	0	1	0
NC(CC1=CC=CC=C1)C(O)=O	DB00120	DrugBank Approved 5.0.9	4	0	5.21	0.7036	3.695	0.621	-1.388	0.4351	-1.37	0.5843	3.905	0.6013	2.97	0.5035	-1.04	0.3585	-	- = 0.57;+ = 0.43;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.9;yes = 0.1;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 0.95;high = 0.05;	165.2	0	2	0	3	0	63.32	0	0.25	0	3	0
OC(=O)CCCCC1SC[C@@H]2NC(=O)N[C@H]12	DB00121	DrugBank Approved 5.0.9	4	0	2.95	0.7036	4.051	0.621	0.7493	0.4351	-1.717	0.5843	3.67	0.6013	2.877	0.6099	-1.61	0.3585	-	- = 0.85;+ = 0.15;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.63;yes = 0.37;	low	low = 0.782609;medium = 0.130435;high = 0.0434783;very high = 0.0434783;	low	low = 0.95;high = 0.05;	244.3	0	3	0	5	0	78.43	0	0.2941	0	5	0
C[N](C)(C)CCO	DB00122	DrugBank Approved 5.0.9	4	0	7.342	1.033	3.056	0.621	0.04197	0.4351	-1.115	inf	4.065	0.6013	4.491	0.4819	-0.257	0.3585	+	- = 0.14;+ = 0.86;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.96;yes = 0.04;	low	low = 0.545455;medium = 0.272727;high = 0.0909091;very high = 0.0909091;	low	low = 0.96;high = 0.04;	104.2	0	1	0	2	0	20.23	0	0.3333	0	2	0
NCCCCC(N)C(O)=O	DB00123	DrugBank Approved 5.0.9	4	0	4.537	1.033	4.104	0.621	-3.05	0.4351	-2.997	0.5843	3.708	0.6013	2.587	0.7274	-0.9809	inf	-	- = 0.78;+ = 0.22;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.66;yes = 0.34;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 1;high = 0;	146.2	0	3	0	4	0	89.34	0	0.5556	0	5	0
NC(CCCNC(N)=N)C(O)=O	DB00125	DrugBank Approved 5.0.9	4	0	6.02	0.7036	4.548	inf	-4.2	0.4351	-3.658	0.5843	3.763	0.6013	1.898	0.8484	-1.418	inf	-	- = 0.94;+ = 0.06;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.62;yes = 0.38;	medium	low = 0.249967;medium = 0.2501;high = 0.249967;very high = 0.249967;	low	low = 0.96;high = 0.04;	174.2	0	5	0	6	0	125.2	0	0.5455	0	6	0
OCC(O)[C@H]1OC(=O)C(=C1O)O	DB00126	DrugBank Approved 5.0.9	4	0	6.36	0.7036	3.517	inf	-1.918	0.4351	-3.132	inf	3.951	0.6013	3.245	0.6115	-1.158	0.3585	-	- = 0.95;+ = 0.05;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.75;yes = 0.25;	low	low = 0.782609;medium = 0.130435;high = 0.0434783;very high = 0.0434783;	low	low = 0.97;high = 0.03;	176.1	0	4	0	6	0	107.2	0	0.1667	0	2	0
NCCCNCCCCNCCCN	DB00127	DrugBank Approved 5.0.9	4	0	5.24	1.033	3.964	inf	-0.4873	0.4351	-2.312	inf	3.925	inf	3.929	0.9374	-0.6279	inf	-	- = 0.79;+ = 0.21;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.63;yes = 0.37;	low	low = 0.545455;medium = 0.272727;high = 0.0909091;very high = 0.0909091;	low	low = 0.92;high = 0.08;	202.3	0	4	0	4	0	76.1	0	0.8462	0	11	0
NC(CC(O)=O)C(O)=O	DB00128	DrugBank Approved 5.0.9	4	0	5.554	1.033	4.837	0.621	-4.735	0.4351	-4.56	0.5843	3.808	0.6013	1.437	0.7725	-1.378	inf	-	- = 0.91;+ = 0.09;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.8;yes = 0.2;	medium	low = 0.249967;medium = 0.2501;high = 0.249967;very high = 0.249967;	low	low = 0.99;high = 0.01;	133.1	0	3	0	5	0	100.6	0	0.375	0	3	0
NCCCC(N)C(O)=O	DB00129	DrugBank Approved 5.0.9	4	0	4.643	1.033	4.255	0.621	-4.41	0.4351	-3.283	0.5843	3.697	0.6013	2.359	0.7369	-1.02	inf	-	- = 0.78;+ = 0.22;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.72;yes = 0.28;	medium	low = 0.249967;medium = 0.2501;high = 0.249967;very high = 0.249967;	low	low = 0.99;high = 0.01;	132.2	0	3	0	4	0	89.34	0	0.5	0	4	0
NC(CCC(N)=O)C(O)=O	DB00130	DrugBank Approved 5.0.9	4	0	5.45	0.7036	4.358	0.621	-3.377	0.4351	-3.41	0.5843	3.723	0.6013	1.897	0.7189	-0.9973	inf	-	- = 0.9;+ = 0.1;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.79;yes = 0.21;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 0.99;high = 0.01;	146.1	0	3	0	5	0	106.4	0	0.4444	0	4	0
NC1=NC=NC2=C1N=C[N]2C3OC(CO[P](O)(O)=O)C(O)C3O	DB00131	DrugBank Approved 5.0.9	4	0	4.46	1.033	3.691	inf	-3.52	0.4351	-2.096	inf	4.667	inf	3.684	0.9815	-1.526	0.3585	-	- = 0.92;+ = 0.08;	+	- = 0.2;+ = 0.8;	no	no = 0.52;yes = 0.48;	low	low = 0.2501;medium = 0.249967;high = 0.249967;very high = 0.249967;	low	low = 0.89;high = 0.11;	347.2	0	5	0	12	0	186.1	0	0.16	0	4	0
CC\C=C/C/C=C\C\C=C/CCCCCCCC(O)=O	DB00132	DrugBank Approved 5.0.9	4	0	1.633	1.033	1.304	0.621	5.295	0.4351	1.465	inf	4.626	inf	5.526	1.045	0.03466	inf	+	- = 0.18;+ = 0.82;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.4999;yes = 0.5001;	very high	low = 0.125;medium = 0.125;high = 0.125;very high = 0.625;	high	low = 0.4999;high = 0.5001;	278.4	0	1	0	2	0	37.3	0	0.6842	0	13	0
NC(CO)C(O)=O	DB00133	DrugBank Approved 5.0.9	4	0	6.61	0.7036	4.121	0.621	-3.348	0.4351	-3.408	0.5843	3.783	0.6013	2.157	0.5812	-1.064	0.3585	-	- = 0.9;+ = 0.1;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.86;yes = 0.14;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 1;high = 0;	105.1	0	3	0	4	0	83.55	0	0.3333	0	2	0
CSCCC(N)C(O)=O	DB00134	DrugBank Approved 5.0.9	4	0	5.58	0.7036	4.074	0.621	-1.87	0.4351	-2.3	0.5843	3.977	0.6013	2.825	0.6052	-0.86	0.3585	+	- = 0.45;+ = 0.55;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.88;yes = 0.12;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 1;high = 0;	149.2	0	2	0	3	0	63.32	0	0.5	0	4	0
NC(CC1=CC=C(O)C=C1)C(O)=O	DB00135	DrugBank Approved 5.0.9	4	0	4.933	0.7036	4.233	0.621	-2.176	0.4351	-2.393	0.5843	3.83	0.6013	3.022	0.5276	-1.184	0.3585	-	- = 0.8;+ = 0.2;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.79;yes = 0.21;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 0.96;high = 0.04;	181.2	0	3	0	4	0	83.55	0	0.2308	0	3	0
CC(CCCC(C)(C)O)[C@H]1CC[C@H]2C(CCC[C@]12C)=CC=C3CC(O)CC(O)C3=C	DB00136	DrugBank Approved 5.0.9	4	0	1.11	0.7036	1.11	0.7036	5.306	0.4351	5.306	0.4351	4.928	inf	5.879	0.7238	-0.1993	inf	-	- = 0.57;+ = 0.43;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.45;yes = 0.55;	very high	low = 0.125;medium = 0.125;high = 0.1865;very high = 0.5625;	high	low = 0.31;high = 0.69;	416.6	0	3	0	3	0	60.69	0	0.1875	0	6	0
NC(CSSCC(N)C(O)=O)C(O)=O	DB00138	DrugBank Approved 5.0.9	4	0	3.936	1.033	4.559	inf	-4.513	0.6296	-3.765	inf	3.838	inf	1.441	1.052	-1.409	inf	-	- = 0.95;+ = 0.05;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.68;yes = 0.32;	medium	low = 0.249967;medium = 0.2501;high = 0.249967;very high = 0.249967;	low	low = 0.98;high = 0.02;	240.3	0	4	0	6	0	126.6	0	0.5385	0	7	0
OC(=O)CCC(O)=O	DB00139	DrugBank Approved 5.0.9	4	0	5.85	0.7036	4.577	0.621	-0.5899	0.4351	-3.722	0.5843	3.782	0.6013	2.07	0.7059	-1.255	inf	-	- = 0.58;+ = 0.42;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.91;yes = 0.09;	low	low = 0.545455;medium = 0.272727;high = 0.0909091;very high = 0.0909091;	low	low = 1;high = 0;	118.1	0	2	0	4	0	74.6	0	0.4286	0	3	0
CC1=C(C)C=C2[N](CC(O)C(O)C(O)CO)C3=N[C](=O)[NH][C](=O)C3=NC2=C1	DB00140	DrugBank Approved 5.0.9	4	0	2.87	1.033	2.87	1.033	-0.7282	0.6296	-0.7282	0.6296	4.862	0.6013	4.71	0.8565	-1.528	inf	-	- = 0.89;+ = 0.11;	+	- = 0.285714;+ = 0.714286;	yes	no = 0.49;yes = 0.51;	low	low = 0.782609;medium = 0.130435;high = 0.0434783;very high = 0.0434783;	low	low = 0.95;high = 0.05;	376.4	0	5	0	10	0	161.6	0	0.1724	0	5	0
CC(=O)NC(C=O)C(O)C(O)C(O)CO	DB00141	DrugBank Approved 5.0.9	4	0	5.469	1.033	5.469	1.033	-2.424	0.6296	-2.424	0.6296	3.993	0.6013	2.704	0.7472	-0.9719	inf	-	- = 0.87;+ = 0.13;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.69;yes = 0.31;	low	low = 0.782609;medium = 0.130435;high = 0.0434783;very high = 0.0434783;	low	low = 1;high = 0;	221.2	0	5	0	7	0	127.1	0	0.5	0	7	0
NC(CCC(O)=O)C(O)=O	DB00142	DrugBank Approved 5.0.9	4	0	5.437	1.033	4.858	0.621	-4.4	0.4351	-4.357	0.5843	3.929	0.6013	1.618	0.7736	-1.386	inf	-	- = 0.91;+ = 0.09;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.78;yes = 0.22;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 0.98;high = 0.02;	147.1	0	3	0	5	0	100.6	0	0.4444	0	4	0
NC(CCC(=O)NC(CS)C(=O)NCC(O)=O)C(O)=O	DB00143	DrugBank Approved 5.0.9	4	0	4.357	1.033	4.75	inf	-4.82	0.4351	-3.831	inf	3.962	0.6013	0.5592	0.977	-1.566	inf	-	- = 0.92;+ = 0.08;	-	- = 0.933333;+ = 0.0666667;	yes	no = 0.36;yes = 0.64;	low	low = 0.2501;medium = 0.249967;high = 0.249967;very high = 0.249967;	low	low = 0.9;high = 0.1;	307.3	0	5	0	9	0	158.8	0	0.5789	0	11	0
CCCC(=O)OC(COC(=O)CC)CO[P](O)(=O)OCC(N)C(O)=O	DB00144	DrugBank Approved 5.0.9	4	0	4.875	1.033	4.733	0.621	-1.886	0.4351	-1.841	inf	4.292	inf	2.687	0.897	-1.55	inf	-	- = 0.94;+ = 0.06;	+	- = 0.136364;+ = 0.863636;	yes	no = 0.38;yes = 0.62;	medium	low = 0.249967;medium = 0.2501;high = 0.249967;very high = 0.249967;	low	low = 0.8;high = 0.2;	385.3	0	3	0	11	0	171.7	0	0.625	0	15	0
NCC(O)=O	DB00145	DrugBank Approved 5.0.9	4	0	6.52	0.7036	3.935	0.621	-3.104	0.4351	-3.098	0.5843	3.919	0.6013	2.369	0.5508	-1.03	0.3585	-	- = 0.57;+ = 0.43;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.95;yes = 0.05;	low	low = 0.545455;medium = 0.272727;high = 0.0909091;very high = 0.0909091;	low	low = 1;high = 0;	75.07	0	2	0	3	0	63.32	0	0.25	0	1	0
CC(CCCC(C)(C)O)[C@H]1CC[C@H]2C(CCC[C@]12C)=CC=C3CC(O)CCC3=C	DB00146	DrugBank Approved 5.0.9	4	0	0.731	0.7036	0.731	0.7036	6.303	0.4351	6.303	0.4351	4.904	inf	6.123	0.7064	0.01651	inf	+	- = 0.25;+ = 0.75;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.62;yes = 0.38;	high	low = 0.0555556;medium = 0.222222;high = 0.666667;very high = 0.0555556;	low	low = 0.66;high = 0.34;	400.6	0	2	0	2	0	40.46	0	0.1935	0	6	0
CC1=NC=C(CO)C(=C1O)C=O	DB00147	DrugBank Approved 5.0.9	4	0	4.454	1.033	4.454	1.033	0.08677	0.4351	0.08677	0.4351	3.962	0.6013	3.543	0.5034	-0.4316	0.3585	-	- = 0.67;+ = 0.33;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.86;yes = 0.14;	low	low = 0.782609;medium = 0.130435;high = 0.0434783;very high = 0.0434783;	low	low = 0.99;high = 0.01;	167.2	0	2	0	4	0	70.42	0	0.1667	0	2	0
CC(C)CC(N)C(O)=O	DB00149	DrugBank Approved 5.0.9	4	0	5.5	0.7036	4.026	0.621	-1.52	0.4351	-1.77	0.5843	4.15	0.6013	2.808	0.54	-0.5761	0.3585	-	- = 0.51;+ = 0.49;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.79;yes = 0.21;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 0.91;high = 0.09;	131.2	0	2	0	3	0	63.32	0	0.375	0	3	0
NC(CC1=C[NH]C2=C1C=CC=C2)C(O)=O	DB00150	DrugBank Approved 5.0.9	4	0	4.82	0.7036	3.742	0.621	-1.147	0.4351	-1.328	0.5843	3.832	0.6013	2.987	0.5642	-1.569	0.3585	-	- = 0.7;+ = 0.3;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.7;yes = 0.3;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 0.69;high = 0.31;	204.2	0	3	0	4	0	79.11	0	0.1875	0	3	0
NC(CS)C(O)=O	DB00151	DrugBank Approved 5.0.9	4	0	6.36	1.033	3.971	0.621	-2.43	0.4351	-2.528	0.5843	3.796	0.6013	2.555	0.602	-0.8645	0.3585	-	- = 0.53;+ = 0.47;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.92;yes = 0.08;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 1;high = 0;	121.2	0	2	0	3	0	63.32	0	0.3333	0	2	0
CC1=NC=C(C[N]2=CSC(=C2C)CCO)C(=N1)N	DB00152	DrugBank Approved 5.0.9	4	0	2.746	0.7036	2.619	0.621	1.666	0.4351	-0.5395	0.5843	4.527	0.6013	4.581	0.6	-0.7693	0.3585	-	- = 0.84;+ = 0.16;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.65;yes = 0.35;	low	low = 0.545455;medium = 0.272727;high = 0.0909091;very high = 0.0909091;	low	low = 0.68;high = 0.32;	265.4	0	2	0	5	0	72.03	0	0.2105	0	4	0
CC(C)C(C)C=CC(C)[C@H]1CC[C@H]2C(CCC[C@]12C)=CC=C3CC(O)CCC3=C	DB00153	DrugBank Approved 5.0.9	4	0	0.6588	1.033	0.6588	1.033	7.002	0.4351	7.002	0.4351	4.955	inf	6.283	0.9101	0.1758	inf	+	- = 0.2;+ = 0.8;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.64;yes = 0.36;	very high	low = 0.249967;medium = 0.249967;high = 0.249967;very high = 0.2501;	high	low = 0.4;high = 0.6;	396.7	0	1	0	1	0	20.23	0	0.1613	0	5	0
CCCCC\C=C/C/C=C\C\C=C/CCCCCCC(O)=O	DB00154	DrugBank Approved 5.0.9	4	0	1.379	1.033	0.9083	0.621	5.833	0.4351	1.736	inf	4.582	inf	5.801	1.078	0.04306	inf	+	- = 0.18;+ = 0.82;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.45;yes = 0.55;	high	low = 0.0555556;medium = 0.222222;high = 0.666667;very high = 0.0555556;	high	low = 0.49;high = 0.51;	306.5	0	1	0	2	0	37.3	0	0.7143	0	15	0
NC(CCCNC(N)=O)C(O)=O	DB00155	DrugBank Approved 5.0.9	4	0	5.35	0.7036	4.206	0.621	-3.265	0.4351	-3.235	0.5843	3.719	0.6013	2.262	0.7688	-1.155	inf	-	- = 0.94;+ = 0.06;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.68;yes = 0.32;	low	low = 0.782609;medium = 0.130435;high = 0.0434783;very high = 0.0434783;	low	low = 0.98;high = 0.02;	175.2	0	4	0	6	0	118.4	0	0.5455	0	6	0
