Structure	ID	MOLLIBRARY	MOLLIBRARY_INT	MOLLIBRARY_INT_StdDev	logS	logS_StdDev	logS @ pH7.4	logS @ pH7.4_StdDev	logP	logP_StdDev	logD	logD_StdDev	2C9 pKi	2C9 pKi_StdDev	hERG pIC50	hERG pIC50_StdDev	BBB log([brain]:[blood])	BBB log([brain]:[blood])_StdDev	BBB category	BBB category_Probability	HIA category	HIA category_Probability	P-gp category	P-gp category_Probability	2D6 affinity category	2D6 affinity category_Probability	PPB90 category	PPB90 category_Probability	MW	MW_StdDev	HBD	HBD_StdDev	HBA	HBA_StdDev	TPSA	TPSA_StdDev	Flexibility	Flexibility_StdDev	Rotatable Bonds	Rotatable Bonds_StdDev
CCC(C)C(NC(=O)C(CCC(O)=O)NC(=O)C(CCC(O)=O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(O)=O)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C2CCCN2C(=O)C(CCCNC(N)=N)NC(=O)C3CCCN3C(=O)C(N)CC4=CC=CC=C4)C(=O)N5CCCC5C(=O)NC(CCC(O)=O)C(=O)NC(CCC(O)=O)C(=O)NC(CC6=CC=C(O)C=C6)C(=O)NC(CC(C)C)C(O)=O	DB00006	DrugBank Approved 5.0.9	4	0	4.703	1.033	7.133	inf	-3.259	0.6296	5.018	inf	4.824	inf	1.778	4.963	-1.245	inf	-	- = 0.79;+ = 0.21;	+	- = 0.4999;+ = 0.5001;	yes	no = 0.05;yes = 0.95;	low	low = 0.2501;medium = 0.249967;high = 0.249967;very high = 0.249967;	low	low = 0.77;high = 0.23;	2180	0	28	0	57	0	901.6	0	0.5375	0	86	0
CC(C)CC(NC(=O)C(COC(C)(C)C)NC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(CO)NC(=O)C(CC2=C[NH]C3=C2C=CC=C3)NC(=O)C(CC4=CN=C[NH]4)NC(=O)C5CCC(=O)N5)C(=O)NC(CCCN=C(N)N)C(=O)N6CCCC6C(=O)NNC(N)=O	DB00014	DrugBank Approved 5.0.9	4	0	2.749	1.033	4.191	inf	-0.337	0.6296	3.541	inf	4.864	inf	0.6537	3.454	-1.338	inf	-	- = 0.79;+ = 0.21;	+	- = 0.4999;+ = 0.5001;	yes	no = 0.1;yes = 0.9;	low	low = 0.2501;medium = 0.249967;high = 0.249967;very high = 0.249967;	low	low = 0.94;high = 0.06;	1269	0	17	0	32	0	495.9	0	0.4479	0	43	0
NC(=N)NCCCC(NC(=O)C1CCCN1C(=O)C2CSSCCC(=O)NC(CC3=CC=C(O)C=C3)C(=O)NC(CC4=CC=CC=C4)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N2)C(=O)NCC(N)=O	DB00035	DrugBank Approved 5.0.9	4	0	3.096	1.033	3.664	inf	-0.7056	0.6296	2.337	inf	4.92	inf	0.8287	3.202	-1.076	inf	-	- = 0.81;+ = 0.19;	+	- = 0.4999;+ = 0.5001;	yes	no = 0.02;yes = 0.98;	low	low = 0.2501;medium = 0.249967;high = 0.249967;very high = 0.249967;	low	low = 0.76;high = 0.24;	1069	0	14	0	26	0	435.4	0	0.2987	0	23	0
CC(C)CC(NC(=O)C(CCCNC(N)=O)NC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(CO)NC(=O)C(CC2=CC=CN=C2)NC(=O)C(CC3=CC=C(Cl)C=C3)NC(=O)C(CC4=CC5=CC=CC=C5C=C4)NC(C)=O)C(=O)NC(CCCNC(N)=N)C(=O)N6CCCC6C(=O)NC(C)C(N)=O	DB00050	DrugBank Approved 5.0.9	4	0	2.044	1.033	3.42	inf	0.5322	0.6296	4.344	inf	5.014	inf	1.152	3.657	-1.259	inf	-	- = 0.83;+ = 0.17;	+	- = 0.4999;+ = 0.5001;	yes	no = 0.11;yes = 0.89;	low	low = 0.2501;medium = 0.249967;high = 0.249967;very high = 0.249967;	low	low = 0.92;high = 0.08;	1431	0	17	0	31	0	495.7	0	0.4673	0	50	0
CCCCCCCCCC(=O)NC(CC1=C[NH]C2=C1C=CC=C2)C(=O)NC(CC(N)=O)C(=O)NC(CC(O)=O)C(=O)NC3C(C)OC(=O)C(CC(=O)C4=C(N)C=CC=C4)NC(=O)C(NC(=O)C(CO)NC(=O)CNC(=O)C(CC(O)=O)NC(=O)C(C)NC(=O)C(CC(O)=O)NC(=O)C(CCCN)NC(=O)CNC3=O)C(C)CC(O)=O	DB00080	DrugBank Approved 5.0.9	4	0	3.561	1.033	5.656	inf	-1.512	0.6296	3.575	inf	4.902	inf	0.8935	4.58	-1.085	inf	-	- = 0.79;+ = 0.21;	+	- = 0.4999;+ = 0.5001;	yes	no = 0.04;yes = 0.96;	low	low = 0.2501;medium = 0.249967;high = 0.249967;very high = 0.249967;	low	low = 0.79;high = 0.21;	1621	0	22	0	43	0	702	0	0.3305	0	39	0
CCC1NC(=O)C(C(O)C(C)CC=CC)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C	DB00091	DrugBank Approved 5.0.9	4	0	3.41	1.033	3.41	1.033	3.114	0.6296	3.114	0.6296	4.931	inf	2.642	3.35	-0.7842	inf	-	- = 0.69;+ = 0.31;	-	- = 0.933333;+ = 0.0666667;	yes	no = 0.04;yes = 0.96;	low	low = 0.2501;medium = 0.249967;high = 0.249967;very high = 0.249967;	high	low = 0.22;high = 0.78;	1203	0	5	0	23	0	278.8	0	0.1765	0	15	0
NCCCCC(NC(=O)C1CCCN1C(=O)C2CSSCC(N)C(=O)NC(CC3=CC=CC=C3)C(=O)NC(CC4=CC=CC=C4)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N2)C(=O)NCC(N)=O	DB00093	DrugBank Approved 5.0.9	4	0	3.284	1.033	3.899	inf	-0.6755	0.6296	2.268	inf	4.993	inf	0.8575	3.138	-0.9775	inf	-	- = 0.8;+ = 0.2;	-	- = 0.5001;+ = 0.4999;	yes	no = 0.01;yes = 0.99;	low	low = 0.2501;medium = 0.249967;high = 0.249967;very high = 0.249967;	low	low = 0.73;high = 0.27;	1040	0	12	0	24	0	405.3	0	0.2933	0	22	0
CC(O)C(CO)NC(=O)C1CSSCC(NC(=O)C(N)CC2=CC=CC=C2)C(=O)NC(CC3=CC=CC=C3)C(=O)NC(CC4=C[NH]C5=C4C=CC=C5)C(=O)NC(CCCCN)C(=O)N[C@@H](C(C)O)C(=O)N1	DB00104	DrugBank Approved 5.0.9	4	0	2.547	1.033	3.363	inf	0.723	0.6296	2.302	inf	5.094	inf	2.016	2.389	-1.023	inf	-	- = 0.85;+ = 0.15;	-	- = 0.933333;+ = 0.0666667;	yes	no = 0.02;yes = 0.98;	low	low = 0.2501;medium = 0.249967;high = 0.249967;very high = 0.249967;	low	low = 0.81;high = 0.19;	1019	0	13	0	20	0	332.2	0	0.2533	0	19	0
C[C@@H]1CNC(=O)CC[C@]2(C)C(CC(N)=O)[C@H]3N4C2=C(C)C5=[N]6C(=CC7=[N]8C(=C(C)C9=[N]([C@]3(C)[C@@](C)(CC(N)=O)C9CCC(N)=O)[Co]468(C#N)[N]%10=C[N](C%11OC(CO)C(O[P](O)(=O)O1)C%11O)C%12=CC(=C(C)C=C%10%12)C)[C@@](C)(CC(N)=O)C7CCC(N)=O)C(C)(C)C5CCC(N)=O	DB00115	DrugBank Approved 5.0.9	4	0	1.985	1.033	8.521	inf	0.8857	0.6296	3.459	inf	5.24	inf	1.268	3.67	-1.33	inf	-	- = 0.73;+ = 0.27;	-	- = 0.5001;+ = 0.4999;	yes	no = 0.06;yes = 0.94;	low	low = 0.2501;medium = 0.249967;high = 0.249967;very high = 0.249967;	low	low = 0.72;high = 0.28;	1356	0	10	0	28	0	425	0	0.1635	0	17	0
NC1=N[C](=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O)N2)[NH]1	DB00116	DrugBank Approved 5.0.9	4	0	2.571	1.033	4.381	inf	-0.7468	0.6296	-1.429	inf	5.154	0.6013	2.05	1.177	-1.44	inf	-	- = 0.95;+ = 0.05;	+	- = 0.222222;+ = 0.777778;	yes	no = 0.2;yes = 0.8;	low	low = 0.782609;medium = 0.130435;high = 0.0434783;very high = 0.0434783;	low	low = 0.7;high = 0.3;	445.4	0	8	0	13	0	211.6	0	0.2941	0	10	0
