dataset	phc_order	pearson.corr.mean	pearson.corr.std
drugbank_chembl_bms	2	0.7015439254855557	0.027762682797611984
drugbank_chembl_bms	3	0.7228385372771962	0.03131175702077926
drugbank_chembl_bms	4	0.7221919549409775	0.0321440323740007
drugbank_chembl_bms	5	0.7312176736297572	0.029398873985923772
drugbank_chembl_bms	6	0.7329387627652064	0.029200787455236916
drugbank_chembl_bms	7	0.7320719079110163	0.029856765599489157
drugbank_chembl_bms	8	0.732243502009869	0.029651299694532604
drugbank_natprod_bms	2	0.6411540230371144	0.04037840567056767
drugbank_natprod_bms	3	0.6294515830916596	0.041642746668983856
drugbank_natprod_bms	4	0.6509605264976445	0.03189961523314871
drugbank_natprod_bms	5	0.6465501639568058	0.032268829902840225
